Genre1;Genre
Chimie;Természettudomány > Kémia
Limbi straine;Szótár, nyelvkönyv
Electronica si comunicatii;Szakkönyv > Műszaki > Elektronika
Antichitati, colectii;Művészet
Arheologie;Történelem > Régészet
Semiotica;Társadalomtudomány > Nyelvészet
Medicina veterinara;Szakkönyv > Orvosi > Állatorvoslás
Atlase, harti, referinte geografice;Hobbi, szabadidő > Utazás > Térképek, atlaszok
Carti de colorat pentru adulti;Hobbi, szabadidő > Felnőtt színezők
Constructii;Szakkönyv > Műszaki > Ipar > Építőipar
Puzzle pentru copii;Egyéb
Tehnica si tehnologie;Szakkönyv > Műszaki
Literatura;Irodalom
Chirurgie;Szakkönyv > Orvosi
Tehnica si tehnologie;Szakkönyv > Műszaki
Arta;Művészet
Jucarii diverse;Egyéb
Actiune, aventuri;Irodalom > Szórakoztató irodalom > Kalandregény
Politica si diplomatie;Társadalomtudomány > Politika
Stomatologie;Szakkönyv > Orvosi
Mecanica si stiinta materialelor;Szakkönyv > Műszaki
Arts;Művészet
Drama;Irodalom > Szépirodalom > Színművek
Memorii Jurnal;Irodalom > Irodalomtörténet > Levelezés
Engleza;Szótár, nyelvkönyv > Angol
Literatura Romana;Irodalom > Szépirodalom > Próza > Magyar irodalom
Sociologie;Társadalomtudomány > Szociológia
Beletristica Limbi Straine;Irodalom > Szépirodalom > Próza > Világirodalom
Carte Ortodoxa;Vallás > Kereszténység
Istoria Romanilor;Történelem > Magyar történelem
Romane de dragoste;Irodalom > Szórakoztató irodalom > Romantikus
Literatura contemporana;Irodalom > Szépirodalom
Psihologie;Társadalomtudomány > Pszichológia
Medicina;Szakkönyv > Orvosi
Literatura Universala;Irodalom > Szépirodalom > Próza > Világirodalom
SF & Fantasy;Irodalom > Szórakoztató irodalom > Sci-fi
Bucatarie;Életmód, egészség > Gasztronómia > Szakácskönyvek
Terapii Alternative;Szakkönyv > Orvosi
Carti thriller;Irodalom > Szórakoztató irodalom > Thriller, horror
Bauturi;Életmód, egészség > Gasztronómia > Italok
Istorie;Történelem
Culegeri Auxiliare;Tankönyv, segédkönyv
Magie;Életmód, egészség > Ezotéria > Mágia, boszorkányság
Arhitectura;Művészet > Építészet
Atlase;Hobbi, szabadidő > Utazás > Térképek, atlaszok
Litere Critica Literara;Irodalom > Irodalomtörténet
Istorie Universala;Történelem > Világtörténelem
Practic Pentru Copii;Gyermek- és ifjúsági > Kifestők, foglalkoztatók
Diete;Életmód, egészség > Gasztronómia > Egészséges táplálkozás, diétáskönyvek
Dezvoltare Spirituala;Életmód, egészség > Ezotéria
Cultura Generala;Szakkönyv > Lexikon, enciklopédia > Általános
Civilizatii Mitologie;Vallás > Mitológia
Plante Gradinarit;Hobbi, szabadidő > Kert és lakás > Növény és kert
