Title,Price,Author
Iancu Jianu. O perspectiva asupra construirii eroului. Volumul II,31.50,PETRONELA-LUMINITA TUCA
Razboiul,34.50,MARGARET MACMILLAN
Integrala prozei scurte,39.95,SAMUEL BECKETT
Corespondenta de la Bucuresti,54.00,EMILE PICOT
Apocalipsa,17.85,GEORGE V. GRIGORE
Delicioasa cartea Indiei/Delicious book of India,75.00,SIMONA HARASTASAN
Da tot ce ai,21.00,ALEXANDRA PAZGU
Alela 66. Noaptea fatidica,44.00,SMEU GE
Ernest si Celestine l-au pierdut pe Simeon,35.00,GABRIELLE VINCENT
Sf. Augustin,39.90,E.A. DAL MASCHIO
Kaderini intre doua lumi,36.00,ELVIRA BOGOS
Din pantecul balenei,15.00,SJON
New Yippee Red Student's Book,39.00,H.Q. MITCHELL
Cauze celebre si solutii inedite ale instantelor in materie civila,30.00,ANDREI PAP
Grasane facand baie cu usile larg deschise,38.00,MARIAN ILEA
Hitler si petrolul prahovean,49.00,VASILE VIRGIL COMAN
Estetica si contingentele ei,22.00,TITU POPESCU
Micul Camion Albastru,20.00,ALICE SCHERLETE
Macroeconomie. Caietul conducatorului de seminar,35.00,GHEORGHE H. POPESCU
Cele 7 legi ale leadershipului si viitorul sau,65.00,PATRICK LUCA
Postmodernismul,39.90,TERESA ONATE
Lumea din cuvinte,53.20,DUMITRU MANOLACHE
"Jurnalele din Berlin, 1940–1945",54.90,MARIE VASSILTCIKOV
Artemis Fowl,38.38,EOIN COLFER
Traieste o viata nelimitata,60.00,MARIUS SPIRIDON
Stiati ca…?,18.90,CORINA IONICA GHEORGHIU
"Matei, vorbeste-mi despre Rai",30.00,SUZANNE WARD
Floare-de-Muschi,50.00,BRIAN JACQUES
Filosofii citesc Biblia,34.00,XAVIER TILLIETTE
"Furnica si porumbita, Magarul in piele de leu si alte fabule",17.00,LEV TOLSTOI
Consumatorul de suflete,54.90,CODIN MATICIUC
Ionesco,21.00,MARIAN VICTOR BUCIU
George Potra. Amintiri cu si despre el,30.00,VIORICA SANDU POTRA
Pisica. Inceput de igrasie,25.00,STEFAN CIOBANU
Brute,48.00,DIZZ TATE
…Si toate zilele de azi,34.00,GEORGE C. DUMITRU
Tinutul nomazilor,14.70,JESSICA BRUDER
Bird Box. Orbeste,38.90,JOSH MALERMAN
Falsificatorii,14.90,DINU C. GIURESCU
Exercitii de uitare,34.99,LIVIU CANGEOPOL
Rapirea Parisiei si alte povestiri,29.95,MIHAI GAINUSA
Adevarul absolut,34.00,JAMES RAYBURN
Devino ceea ce esti,38.00,ALAN WATTS
Durere si vindecare,29.99,ECATERINA SARBU
Negociatorul abil,56.00,SABIN GILCEAVA
Intre doua lumi - Clujul in carti postale 1918-1945,60.00,RADU LUPESCU
Jurnal de vacanta. Clasa a III-a,19.99,RODICA CHIRAN
Erno Rubik si cubul magic,35.00,KERRY ARADHYA
Descopera-ti adevarata esenta,36.00,RAMONA CRISTEA
Manastirea romana. Sarbatorind comunitatile spirituale ale Romaniei,84.90,PRINCIPESA SOFIA A ROMANIEI
Despre perceptia spatiului in arhitectura,37.00,DANA POP
Povestile de aur ale copilariei,149.90,TONY WOLF
