Category,Category_Std
 1-4 évfolyam , 14 evfolyam 
 Vadászat, vadaszat
Manuale Clasa 11,manuale clasa 11
Raftul traducatorului - Tudora Sandru Mehedinti,raftul traducatorului  tudora sandru mehedinti
 Régészet, regeszet
 Medicina, medicina
 Libros para nińos , libros para ninos 
Raftul BookTok 2024,raftul booktok 2024
"Auto, transport, deplasare",auto transport deplasare
 Clasa Pregatitoare, clasa pregatitoare
Raftul traducatorului - Smaranda Bratu Elian,raftul traducatorului  smaranda bratu elian
 Calendare, calendare
Lavinia Braniste,lavinia braniste
" Életmód, egészség", eletmod egeszseg
" Vehicles, Airplanes, Ships ", vehicles airplanes ships 
 treatments & subjects, treatments  subjects
Manuale Clasa 9,manuale clasa 9
Raftul The Power of Storytelling,raftul the power of storytelling
 A Biblia világa, a biblia vilaga
Stiintele Pamantului,stiintele pamantului
" Sciences Humaines, Droit, Économie ", sciences humaines droit economie 
 Fiction, fiction
Bricolaj,bricolaj
 Német , nemet 
 Szállítás-hírközlés, szallitashirkozles
Fiction,fiction
Gradinita,gradinita
" Guide, Entraide ", guide entraide 
Raftul de debut,raftul de debut
 Pszichológia, pszichologia
Ana Maria Sandu,ana maria sandu
Istorie generala,istorie generala
Raftul Brand Minds,raftul brand minds
 Külkereskedelem, kulkereskedelem
Medicina clinica si interna,medicina clinica si interna
 Informatika , informatika 
Limbi straine,limbi straine
Adina Rosetti,adina rosetti
Constructii,constructii
Arta Fotografica,arta fotografica
"Lingvistica, dictionare",lingvistica dictionare
 Livres References , livres references 
 Alkalmazott matematika, alkalmazott matematika
 Earth Sciences , earth sciences 
" Felvételi, nyelvvizsga", felveteli nyelvvizsga
 Ajándékkönyv, ajandekkonyv
"Lifestyle, sport, timp liber",lifestyle sport timp liber
 Romane Fantasy, romane fantasy
 Erdészet, erdeszet
Sfaturi Practice,sfaturi practice
" Sozialwissenschaften, Recht, Wirtschaft ", sozialwissenschaften recht wirtschaft 
Made by Carturesti,made by carturesti
 Literatura argentiniana, literatura argentiniana
Etica si morala,etica si morala
 Kerékpározás, kerekparozas
Raftul Cărturino 2024,raftul carturino 2024
" Mágia, boszorkányság", magia boszorkanysag
Gradinita - Stiinte ale naturii,gradinita  stiinte ale naturii
 Young Adult, young adult
" Életmód, egészség ", eletmod egeszseg 
 Atlase, atlase
 Carti 3D, carti 3d
Clasa a XII-a - Biologie,clasa a xiia  biologie
 Továbbtanulás , tovabbtanulas 
10 years BTS,10 years bts
Industrie Alimentara,industrie alimentara
 Literatura austriaca, literatura austriaca
Folk,folk
Despre gen,despre gen
Raftul Premiilor Observator Cultural - Editia 2020,raftul premiilor observator cultural  editia 2020
 Beletristica Limbi Straine, beletristica limbi straine
Biografii Memorii Jurnale,biografii memorii jurnale
" Karten, Stadtpläne ", karten stadtplane 
 Atlase Enciclopedii, atlase enciclopedii
Design,design
" Theology, Religion ", theology religion 
 Összefoglaló, osszefoglalo
Litere Etnologie,litere etnologie
Manuale Clasa 1,manuale clasa 1
 Livres audio , livres audio 
Mariana Codrut,mariana codrut
Diana Geacăr,diana geacar
"Pentru copii, adolescenti",pentru copii adolescenti
 Vise, vise
Raftul Films in frame,raftul films in frame
 Fictiune, fictiune
 German Schoolbooks, german schoolbooks
 Vámpírregények, vampirregenyek
 Személyiségpszichológia, szemelyisegpszichologia
 Alimentatie Sanatate, alimentatie sanatate
Recomandări Răzvan Petri și Vlad Adamescu (Politică la minut),recomandari razvan petri si vlad adamescu politica la minut
Recomandări Elena Stancu,recomandari elena stancu
 English books , english books 
 Diafilmek, diafilmek
Literatura canadiana,literatura canadiana
" Thriller, horror", thriller horror
Raftul Goncourt 2024,raftul goncourt 2024
Luminița Alexandru,luminita alexandru
" Adózás, könyvvitel", adozas konyvvitel
mom&bebe,mombebe
Raftul AudioTribe,raftul audiotribe
 Geowissenschaften , geowissenschaften 
 Kunstreiseführer , kunstreisefuhrer 
" Főiskola, egyetem", foiskola egyetem
Könyv ,konyv 
 Germana, germana
 Világirodalom , vilagirodalom 
"Piese de teatru, scenarii",piese de teatru scenarii
 Orosz zsebkönyvek , orosz zsebkonyvek 
Istorii Secrete,istorii secrete
Dictionare Romana,dictionare romana
Ioana Chicet-Macoveiciuc,ioana chicetmacoveiciuc
Antreprenoriat,antreprenoriat
Radu Paraschivescu,radu paraschivescu
Ciclul primar - Bibliografie scolara,ciclul primar  bibliografie scolara
 Psihologia relatiilor. Psihologia cuplului, psihologia relatiilor psihologia cuplului
Szabo Eniko,szabo eniko
"Thriller, horror",thriller horror
 Latin, latin
Carte Prescolara,carte prescolara
Adina Popescu,adina popescu
Recomandări Elena Calistru (Funky Citizens),recomandari elena calistru funky citizens
" Geschichten, Reime", geschichten reime
 Kriminalromane, kriminalromane
Petru Cimpoeșu,petru cimpoesu
 Ethnology , ethnology 
Raftul De Basm,raftul de basm
Carti educative,carti educative
Auxiliare - Clasa a II-a,auxiliare  clasa a iia
" Esoteric, Anthroposophy ", esoteric anthroposophy 
 Geometria, geometria
Fotografie,fotografie
" Physik, Astronomie ", physik astronomie 
Clasa pregatitoare - Limba si literatura romana,clasa pregatitoare  limba si literatura romana
Matematica,matematica
 Filozófia , filozofia 
Carti de colorat pentru copii,carti de colorat pentru copii
Raftul One World ediția a 13-a,raftul one world editia a 13a
 Magyar történelem, magyar tortenelem
 Egyetemes festészet, egyetemes festeszet
Eseistica,eseistica
 Practic Pentru Copii, practic pentru copii
Drept,drept
Cărți despre minte și corp: recomandările lui Vlad Mixich,carti despre minte si corp recomandarile lui vlad mixich
" Schule und Lernen, Schulbücher ", schule und lernen schulbucher 
Clasa a V-a - Limba germana,clasa a va  limba germana
 Próza, proza
Meditative Arts,meditative arts
Masaj Relaxare,masaj relaxare
Top produse 2024 - Carte străină,top produse 2024  carte straina
Despre religii,despre religii
Raftul traducatorului - Luana Schidu,raftul traducatorului  luana schidu
 Mathematics, mathematics
 Civilizatii Mitologie, civilizatii mitologie
 Nemzetközi gazdaságtan, nemzetkozi gazdasagtan
Germana,germana
Gradinita - Consiliere si dezvoltare personala,gradinita  consiliere si dezvoltare personala
 enciclopedii copii, enciclopedii copii
 Culegeri Auxiliare, culegeri auxiliare
 Reference Books, reference books
" Üzleti élet, karrier ", uzleti elet karrier 
 Életrajzok, eletrajzok
 Jurnale, jurnale
Raftul literaturii nordice,raftul literaturii nordice
Alina Nelega,alina nelega
Stiinte Politice,stiinte politice
Teoria artei,teoria artei
 Bucatarie, bucatarie
Nuvele,nuvele
e-könyv ,ekonyv 
 Lovassportok, lovassportok
Pedagogie Metodica,pedagogie metodica
"Atlase, harti, referinte geografice",atlase harti referinte geografice
 Sachbücher , sachbucher 
" Riportkönyv, tényirodalom", riportkonyv tenyirodalom
Alex Donovici,alex donovici
Constantin Abăluţă,constantin abaluta
Medicina Pentru Toti,medicina pentru toti
 Hálózat, halozat
Sport si recreere,sport si recreere
 Klasszikus zene , klasszikus zene 
Sînziana Popescu,sinziana popescu
 Terhesség és szülés, terhesseg es szules
Flavius Ardelean,flavius ardelean
Lia Faur,lia faur
Carte Ortodoxa,carte ortodoxa
 Haditechnika, haditechnika
Stomatologie,stomatologie
Câștigătorii ediției a 3-a a Burselor,castigatorii editiei a 3a a burselor
Liliana Nechita,liliana nechita
Inteligenta artificiala,inteligenta artificiala
 Carti copii in limbi straine, carti copii in limbi straine
 Gasztronómiatörténet, gasztronomiatortenet
Intuitive reader,intuitive reader
Filosofia stiintei,filosofia stiintei
 Kétnyelvű könyvek, ketnyelvu konyvek
Terapii Alternative,terapii alternative
 Könyvészet, konyveszet
 Libros de bolsillo , libros de bolsillo 
Litere Filologie,litere filologie
 Carti In Dar, carti in dar
 Travel Guides - General , travel guides  general 
 Keleti filozófia, keleti filozofia
Publicitate si media,publicitate si media
 Literaturwissenschaft , literaturwissenschaft 
Sugestii pentru combaterea plictiselii,sugestii pentru combaterea plictiselii
" Valószínűségszámítás, statisztika", valoszinusegszamitas statisztika
Raftul Brand Minds 2023,raftul brand minds 2023
 Orosz, orosz
Islam,islam
" Jegyzetfüzet, notesz, toll", jegyzetfuzet notesz toll
 Filozófiatörténet, filozofiatortenet
 Guides Général, guides general
 Egyéb adathordozók, egyeb adathordozok
" Miscellaneous, Stationary", miscellaneous stationary
Raftul SHORT,raftul short
"Metodologie, testare",metodologie testare
Astra Film Festival 2024,astra film festival 2024
Literatura turca,literatura turca
 Reviste, reviste
Istoria Romanilor,istoria romanilor
Clasa a XII-a - Economie,clasa a xiia  economie
Raftul FITS 2024,raftul fits 2024
Marketing si vanzari,marketing si vanzari
 2023-as naptárak, 2023as naptarak
 Mikrobiológia, mikrobiologia
 Carte Prescolara, carte prescolara
Greenpeace climate fiction,greenpeace climate fiction
" Rajz, vizuális kultúra", rajz vizualis kultura
 10-14 éveseknek , 1014 eveseknek 
Clasa a XI-a - Matematica,clasa a xia  matematica
Literatura germana,literatura germana
" Hotel-, Restaurant-, Campingführer", hotel restaurant campingfuhrer
" Humoros, Szatíra", humoros szatira
 Geológia, geologia
 Literatura germana, literatura germana
 Povestiri, povestiri
Clasa a V-a - Educatie tehnologica,clasa a va  educatie tehnologica
Creative writing,creative writing
Business si economie,business si economie
" Nyelvfilozófia, logika", nyelvfilozofia logika
Raftul cărţilor premiate,raftul cartilor premiate
Produse la preturi speciale,produse la preturi speciale
Haine & accesorii - ROD,haine  accesorii  rod
 Média, media
 Schulbücher, schulbucher
Clasa a VI-a - Limba si literatura romana,clasa a via  limba si literatura romana
 Határidőnapló, hataridonaplo
Partituri Muzicale,partituri muzicale
 Travel Guides - General, travel guides  general
 Esszé, essze
