Author;Author_Std
Nógrádi György;nogradi gyorgy
Laura Markham;laura markham
Schobert Norbert;schobert norbert
André Aciman;andre aciman
David R. Hawkins;david r hawkins
Vlagyimir Szutyejev;vlagyimir szutyejev
Al Ghaoui Hesna;al ghaoui hesna
Király Ágnes;kiraly agnes
Barack Obama;barack obama
Stephen C. Lundin;stephen c lundin
Bessel van der Kolk;bessel van der kolk
Feldmár András;feldmar andras
Russel Friedman;russel friedman
Neale Donald Walsch;neale donald walsch
Ursula Weller;ursula weller
Barney Stinson;barney stinson
Pásztohy Panka;pasztohy panka
Lisa Jane Smith;lisa jane smith
B. E. Belle;b e belle
Robert B. Cialdini;robert b cialdini
Wolf Erlbruch;wolf erlbruch
Carol S. Dweck;carol s dweck
Janina Görrissen;janina gorrissen
Lantos Mihály;lantos mihaly
Závada Pál;zavada pal
Kati Marton;kati marton
Daniel H. Pink;daniel h pink
Soós Edit;soos edit
Charlie Mackesy;charlie mackesy
Helen Fielding;helen fielding
Holly Webb;holly webb
Brenda Clark;brenda clark
Ashlee Vance;ashlee vance
Szautner Jánosné Szigeti Gizella;szautner janosne szigeti gizella
Mantak Chia;mantak chia
Csattos Ilona;csattos ilona
Roxie Nafousi;roxie nafousi
Avilai Szent Teréz;avilai szent terez
Elisabetta Gnone;elisabetta gnone
Bajzáth Mária;bajzath maria
Lucinda Riley;lucinda riley
Sarah J. Maas;sarah j maas
Kerényi Dénes;kerenyi denes
Schäffer Erzsébet;schaffer erzsebet
Hamvas Béla;hamvas bela
Szabó Judit;szabo judit
Szabó T. Anna;szabo t anna
Földvári András;foldvari andras
Bud Spencer;bud spencer
Otfried Preussler;otfried preussler
Csernok Attila;csernok attila
David Deida;david deida
Szabó Magda;szabo magda
Chuck Spezzano;chuck spezzano
Peter Nieländer;peter nielander
Vámos Miklós;vamos miklos
Patrick McKeown;patrick mckeown
Stephanie Garber;stephanie garber
Eleanor H. Porter;eleanor h porter
Markus Zusak;markus zusak
Varga Katalin;varga katalin
Karl Ove Knausgard;karl ove knausgard
Ali Hazelwood;ali hazelwood
Stefano Bottoni;stefano bottoni
Bozsik Rozália;bozsik rozalia
Fabian Lenk;fabian lenk
Dr. Betty Edwards;dr betty edwards
Kovács Andrea;kovacs andrea
Farkas Nóra;farkas nora
Szentesi Éva;szentesi eva
Ransom Riggs;ransom riggs
Bálint György;balint gyorgy
Francis Scott Fitzgerald;francis scott fitzgerald
Fredrik Backman;fredrik backman
Baráth Viktória;barath viktoria
Deborah Harkness;deborah harkness
Pap Éva;pap eva
Maggie O'farrell;maggie ofarrell
Raffai Jenő;raffai jeno
Tony Wolf;tony wolf
Sienna Cole;sienna cole
Anje Flad;anje flad
Balázsy Panna;balazsy panna
Forrai Katalin;forrai katalin
Duka Gyula;duka gyula
Frédérick Leboyer;frederick leboyer
Janikovszky Éva;janikovszky eva
Rákóczi Gabi MSc;rakoczi gabi msc
Michaela Riedl;michaela riedl
O. Nagy Gábor;o nagy gabor
Camilla Lackberg;camilla lackberg
Lukács Liza;lukacs liza
Magyar Bálint;magyar balint
Barbara Pease;barbara pease
Andrea Pinnington;andrea pinnington
Weöres Sándor;weores sandor
Budai Lotti;budai lotti
Paul Watzlawick;paul watzlawick
Forgács Tiborné;forgacs tiborne
Tamás Rita;tamas rita
Sylvia Löhken;sylvia lohken
Mészöly Miklós;meszoly miklos
Saul Austerlitz;saul austerlitz
Santa Montefiore;santa montefiore
Laurie Gilmore;laurie gilmore
Borbély Szilárd;borbely szilard
B. A. Paris;b a paris
Moldova György;moldova gyorgy
Bayné Bojcsev Mónika;bayne bojcsev monika
Kollár Betti;kollar betti
James H. Clay;james h clay
Bánffy Miklós;banffy miklos
Thomas Gordon;thomas gordon
Magali Le Huche;magali le huche
Váncsa István;vancsa istvan
Jamie Oliver;jamie oliver
Vavyan Fable;vavyan fable
Elaine N. Aron;elaine n aron
