Publisher;Publisher_Std
Nemzeti Örökség;nemzeti orokseg
Europrint Könyvkiadó;europrint konyvkiado
TEA KIADÓ KFT.;tea kiado kft
Betűtészta Kiadó;betuteszta kiado
Tessloff és Babilon Kiadó;tessloff es babilon kiado
Savaria University Press;savaria university press
Unio Mystica Kiadó;unio mystica kiado
PRAE.HU Kft.;praehu kft
Pillangó Kiadó;pillango kiado
Libri Könyvkiadó;libri konyvkiado
Hanimmo Kft.;hanimmo kft
Orpheusz Kiadó;orpheusz kiado
Magyar Képzőművészeti Egyetem;magyar kepzomuveszeti egyetem
Maxim Könyvkiadó;maxim konyvkiado
Viva Média Holding;viva media holding
Pallas-Akadémia;pallasakademia
JEL EGYHÁZI KÖNYVKIADÓ BT;jel egyhazi konyvkiado bt
Szent Atanáz Görög Kat. Hittudom. E;szent atanaz gorog kat hittudom e
Gabriel Méry-RATIO;gabriel meryratio
MAGYAR ÍRÓK EGYESÜLETE;magyar irok egyesulete
Nemzeti Kisebbségkutató Intézet;nemzeti kisebbsegkutato intezet
PHARMA-PRESS NYOMDAIPARI KFT;pharmapress nyomdaipari kft
Mathias Corvinus Collegium/Tihanyi;mathias corvinus collegiumtihanyi
Ganésha Szolgáltató Bt.;ganesha szolgaltato bt
Katica Könyv Műhely;katica konyv muhely
JCS MÉDIA KFT.;jcs media kft
Jezsuita Kiadó;jezsuita kiado
Frigoria Könyvkiadó;frigoria konyvkiado
Országház Könyvkiadó;orszaghaz konyvkiado
Szülőföld Könyvkiadó Kft.;szulofold konyvkiado kft
MTA Társadalomkutató Központ;mta tarsadalomkutato kozpont
Athenaeum Kiadó;athenaeum kiado
SC Editura Kriterion SRL;sc editura kriterion srl
Erawan Könyvkiadó;erawan konyvkiado
FRÍG KFT;frig kft
Studium Plusz Könyvkiadó;studium plusz konyvkiado
Barankovics István Alapítvány;barankovics istvan alapitvany
Látóhatár Kiadó Kft.;latohatar kiado kft
Mars Publishing;mars publishing
Lectum Kiadó;lectum kiado
SZILVIA ÉS TSA. BT. KIADÓ;szilvia es tsa bt kiado
Clipperton Kiadó;clipperton kiado
CSENGŐKERT KIADÓ;csengokert kiado
Bölcselet Egyesület;bolcselet egyesulet
Kolor Optika Bt.;kolor optika bt
Balatonfüred Városért Közalapítvány;balatonfured varosert kozalapitvany
Holnap Kulturális Egyesület;holnap kulturalis egyesulet
Biarritz Kft;biarritz kft
Bioenergetic Kft.;bioenergetic kft
MTA-SZTE Vallási Kultúrakutató Csop;mtaszte vallasi kulturakutato csop
Totel Books;totel books
Magyar Műhely;magyar muhely
Mission is Possible;mission is possible
Pagony Kiadó Kft.;pagony kiado kft
Rézbong Kiadó;rezbong kiado
PESTI KALLIGRAM KFT.;pesti kalligram kft
Trivium Kiadó;trivium kiado
Manó Könyvek;mano konyvek
Csimota Könyvkiadó;csimota konyvkiado
Harmat Kiadó;harmat kiado
Twister Media Kft.;twister media kft
BAGOLYVÁR TRADE KFT;bagolyvar trade kft
HarperCollins Magyarország Kft;harpercollins magyarorszag kft
Babilon Kiadó;babilon kiado
Pannon Kultúra Alapítvány;pannon kultura alapitvany
Semmelweis Kiadó;semmelweis kiado
TARSAGO Magyarország;tarsago magyarorszag
Ad Librum Kiadó;ad librum kiado
TOTEL SZERVÍZ KFT.;totel szerviz kft
Lábnyom Kiadó;labnyom kiado
Tuan Kiadó;tuan kiado
Inverz Media Kft.;inverz media kft
3BT Kiadó;3bt kiado
Kiss József Könyvkiadó;kiss jozsef konyvkiado
MŰVELT NÉP KÖNYVKIADÓ KFT;muvelt nep konyvkiado kft
Publio Kiadó;publio kiado
Reneszánsz Könyvkiadó;reneszansz konyvkiado
Elektra Kiadóház Bt;elektra kiadohaz bt
Tündér Könyvkiadó;tunder konyvkiado
Édesvíz Kiadó;edesviz kiado
Ani-and Kiadó;aniand kiado
Enigma Könyvek;enigma konyvek
Cerkabella Könyvkiadó;cerkabella konyvkiado
Ad Librum Kft.;ad librum kft
Expert Books;expert books
ETK KIADÓ;etk kiado
Criticai Lapok;criticai lapok
Budapest Főváros Levéltára;budapest fovaros leveltara
Aksjomat;aksjomat
Bíbor Kiadó;bibor kiado
Múlt és Jövő Lap- és Könyvkiadó;mult es jovo lap es konyvkiado
Arcus Kiadó;arcus kiado
KATICA KÖNYVMŰHELY;katica konyvmuhely
Mentor Kiadó;mentor kiado
KKETTK Közalapítvány;kkettk kozalapitvany
Patmos Records Ker.és Kiad. Szerv.;patmos records keres kiad szerv
Fiatal Írók Szövetsége;fiatal irok szovetsege
Szent István Társulat;szent istvan tarsulat
Üveghegy Kiadó;uveghegy kiado
Új Remény Alapítvány;uj remeny alapitvany
Atlantisz Könyvkiadó;atlantisz konyvkiado
Cartaphilus Kiadó;cartaphilus kiado
AnnAtA Kiadó;annata kiado
Gold Book;gold book
Szegedi Középkorász Műhely;szegedi kozepkorasz muhely
Martin Opitz Kiadó;martin opitz kiado
Minerva Kiadó;minerva kiado
Garbo Kiadó;garbo kiado
Pesti Könyv Kiadó;pesti konyv kiado
Palatia Kiadó;palatia kiado
Metropolis Media;metropolis media
Szépmíves Könyvek;szepmives konyvek
Allegro Könyvek;allegro konyvek
Magyar Kurír - Új Ember kiadványok;magyar kurir  uj ember kiadvanyok
Országos Széchényi Könyvtár;orszagos szechenyi konyvtar
Bridge Mission Society;bridge mission society
Guruló Egyetem Kft.;gurulo egyetem kft
Zimber Könyvek;zimber konyvek
Kreatív Kiadó;kreativ kiado
MMA Kiadó;mma kiado
Shambhala Magyarország Egyesület;shambhala magyarorszag egyesulet
Pro Karmine Kft.;pro karmine kft
BABOR Kft.;babor kft
I.A.T. Kiadó;iat kiado
Angry Cat Kiadó;angry cat kiado
Gyémántfelhő Kiadó;gyemantfelho kiado
In Dynamics Consulting;in dynamics consulting
Reálszisztéma;realszisztema
KETEG OIKONOMIA KUTATÓ INTÉZET;keteg oikonomia kutato intezet
Kossuth Kiadó / Mojzer Kiadó;kossuth kiado  mojzer kiado
MMA Kiadó Nonprofit Kft.;mma kiado nonprofit kft
Spirodalmi Kiadó;spirodalmi kiado
ALEXANDRA KÖNYVESHÁZ KFT.;alexandra konyveshaz kft
Digi-Book Mo.Kiadó és Ker.Kft.;digibook mokiado es kerkft
Aposztróf Kiadó;aposztrof kiado
Kocsis Kiadó;kocsis kiado
Wunderlich Production Kft.;wunderlich production kft
Álomgyár Kiadó;alomgyar kiado
Pioneer Books;pioneer books
PRAE.HU.KFT;praehukft
SailingBooks.hu;sailingbookshu
Stilianos Kft.;stilianos kft
Menő Könyvek;meno konyvek
Új Város Alapítvány;uj varos alapitvany
Made in World Center Kft.;made in world center kft
Bétel Kiadó;betel kiado
Dupress;dupress
LEAN ENTERPRISE INSTITUTE;lean enterprise institute
Enjoy;enjoy
Vad Virágok Könyvműhely;vad viragok konyvmuhely
General Press Kiadó;general press kiado
Nemzeti Értékek Könyvkiadó;nemzeti ertekek konyvkiado
Bíborcsillag Harmónia Kft.;biborcsillag harmonia kft
Kalliope Kiadó;kalliope kiado
Akkord Kiadó;akkord kiado
I.P.C. MIRROR KÖNYVKIADÓ;ipc mirror konyvkiado
Örökség Kultúrpol.Int.Nonprof.Kft.;orokseg kulturpolintnonprofkft
Artemisz;artemisz
Artemisz és Hesztia Kiadó;artemisz es hesztia kiado
Domonkos Rendtörténeti Gyűjtemény;domonkos rendtorteneti gyujtemeny
SzépKönyvek Kiadó;szepkonyvek kiado
HTSART KIADÓ ÉS NYOMDA;htsart kiado es nyomda
Urbis Könyvkiadó;urbis konyvkiado
Könyv Guru;konyv guru
Gulliver Lap-és Könyvkiadó;gulliver lapes konyvkiado
Papp Béla Alapítvány;papp bela alapitvany
Ventus Commerce Kft.;ventus commerce kft
L&L Kiadó;ll kiado
Rózsavölgyi És Társa;rozsavolgyi es tarsa
Írott Szó Alapítvány;irott szo alapitvany
EGÉSZSÉGFORRÁS ALAPÍTVÁNY;egeszsegforras alapitvany
Kreatív Kontroll Kft.;kreativ kontroll kft
Pallas Athéné Könyvkiadó Kft.;pallas athene konyvkiado kft
CAHS Kiadó;cahs kiado
Nagy Imre Alapítvány;nagy imre alapitvany
Jel-Kép Bt.;jelkep bt
Bookline Könyvek;bookline konyvek
Alpar 9 Kft.;alpar 9 kft
Gondolat-Infonia;gondolatinfonia
PREM-X KFT.;premx kft
Előretolt Helyőrség Íróakadémia;eloretolt helyorseg iroakademia
FUMAX KFT;fumax kft
21. Század Kiadó;21 szazad kiado
Felsőbbfokú Tanulmányok Intézete;felsobbfoku tanulmanyok intezete
Design Media Publishing;design media publishing
Kárpát-medence Intézet;karpatmedence intezet
