Publisher;Publisher_Std
Print-Tech Kiadó;printtech kiado
Mesevilág;mesevilag
MOSAIK;mosaik
Pergamon Press;pergamon press
Agrocent;agrocent
Orvos-egészségügyi szakszervezet;orvosegeszsegugyi szakszervezet
Goldmann;goldmann
Musikverlag;musikverlag
ABC Mill Projekttervező Kft.;abc mill projekttervezo kft
Mickiewicz Kiadás;mickiewicz kiadas
Bucuresti;bucuresti
Magyar Múzeumi Történész Társ.;magyar muzeumi tortenesz tars
EKTF Líceum Kiadó;ektf liceum kiado
TeNeues;teneues
Claassen Verlag;claassen verlag
HERAUSGEBER UND VERLAG;herausgeber und verlag
Element Books;element books
Evangélikus Egyetem. Sajtóo.;evangelikus egyetem sajtoo
Piliscsaba;piliscsaba
PolgArt Könyvkiadó Kft.;polgart konyvkiado kft
Dargaud;dargaud
CEDH Hungaria;cedh hungaria
Imago;imago
Magyar Kir. Földműv. Minisz.;magyar kir foldmuv minisz
Magyar úttörők szövetsége;magyar uttorok szovetsege
Diákkönyvtár;diakkonyvtar
Erdészeti Tudományos Intézet;erdeszeti tudomanyos intezet
Békés Megyei Múzeumok Ig.;bekes megyei muzeumok ig
Dorotheum Katalogprod.;dorotheum katalogprod
Award Publications Ltd.;award publications ltd
Manor Books;manor books
Storey Books;storey books
PALLAS-ANTIKVÁRIUM KIADÓ ÉS KÖNYVK.;pallasantikvarium kiado es konyvk
Magyar-Szovjet Művelődési T.;magyarszovjet muvelodesi t
Actio Catholica Orsz. Elnökség;actio catholica orsz elnokseg
Turán Printing And Bidnery;turan printing and bidnery
OSZK Könyvt. Tud. Módsz. Közp.;oszk konyvt tud modsz kozp
Egyetemi Földrajzi Intézet;egyetemi foldrajzi intezet
Élet Kiadóhivatala;elet kiadohivatala
Tom Doherty Associates Book;tom doherty associates book
Ace Books;ace books
Norton & Company;norton  company
Magyar Dolgozók Pártja;magyar dolgozok partja
Academic Press;academic press
Phaidon Verlag;phaidon verlag
Heyne Bücher;heyne bucher
Magyar Honvédelmi Szövetség;magyar honvedelmi szovetseg
MDP Közp.Vez. Agit. és Prop.O.;mdp kozpvez agit es propo
Szikra Rt.;szikra rt
Seghers Éditeur;seghers editeur
ATV;atv
Pécsett;pecsett
Oblath Leo;oblath leo
Wahlström &Widstrand;wahlstrom widstrand
List Taschenbuch;list taschenbuch
Windpferd Verlagsgesellschaft;windpferd verlagsgesellschaft
Művészetek Háza;muveszetek haza
Abrams;abrams
Owl Books;owl books
Ravensburger Buchverlag;ravensburger buchverlag
Laiszky János Könyvnyomdája;laiszky janos konyvnyomdaja
Anton J. Benjamin A.-G.;anton j benjamin ag
Sybex;sybex
Kölcsey Társaság;kolcsey tarsasag
Courier Rt.;courier rt
Magyar Mezőgazdasági Kiadó;magyar mezogazdasagi kiado
Kazinczy Könyv- És Lapkiadó Sz;kazinczy konyv es lapkiado sz
Ifjúsági Könyv Kiad. Bukarest;ifjusagi konyv kiad bukarest
Megyei Könyvtár;megyei konyvtar
Királyhágómelléki Ref. Egyházk;kiralyhagomelleki ref egyhazk
Magvető;magveto
INF International Kft;inf international kft
Ludowa Spóldzielnia Wydawnicza;ludowa spoldzielnia wydawnicza
OSZK;oszk
Gyomai Kner Nyomda;gyomai kner nyomda
Cairo Press;cairo press
Kosmos Verlag;kosmos verlag
Der Kinderbuchverlag;der kinderbuchverlag
Paul List Verlag;paul list verlag
LITTERA KÖNYV ÉS LAPKIADÓ KFT.;littera konyv es lapkiado kft
William Heinemann Ltd.;william heinemann ltd
Corvin Kiadó;corvin kiado
La Nostra Budapest;la nostra budapest
Agroinform Kiadóház;agroinform kiadohaz
Panemex Kiadó;panemex kiado
Irodalmi Rádió;irodalmi radio
Taurini;taurini
Fabula Könyvkiadó Kft.;fabula konyvkiado kft
Walter De Gruyter;walter de gruyter
Magyar Építőművészet;magyar epitomuveszet
Téka Könyvek;teka konyvek
ELT grammars & grammars gracti;elt grammars  grammars gracti
Demokráciai Kutatások Alapítv.;demokraciai kutatasok alapitv
Magyar Eszperantó Szövetség;magyar eszperanto szovetseg
Editura Stiintifica;editura stiintifica
Philipp Reclam Jun.;philipp reclam jun
Crest Books;crest books
Indigo;indigo
National Textbook Company;national textbook company
American book company;american book company
TIT Történelmi Választm. Kiad.;tit tortenelmi valasztm kiad
LIBRI KÖNYVKIADÓ KFT.;libri konyvkiado kft
Nagykőrös;nagykoros
Marcel Didier;marcel didier
Magyar Ellenáll.Antifas.Szöv.;magyar ellenallantifasszov
NORAN;noran
Montreal;montreal
Wilhelm Engelmann;wilhelm engelmann
Main Street Press;main street press
Gaia Books Limited;gaia books limited
THOMAS DUNNE BOOKS;thomas dunne books
InterCom;intercom
Dabasi Nyomda;dabasi nyomda
Thames And Hudson;thames and hudson
The British Publishers Guild;the british publishers guild
Evangélikus Országos Múzeum;evangelikus orszagos muzeum
Más Kft.;mas kft
Kaposvári Nyomda Kft.;kaposvari nyomda kft
British Council;british council
Egmont-Pannónia;egmontpannonia
Szféra;szfera
Flamingo;flamingo
A & C Black;a  c black
SZINEX KFT.;szinex kft
Dorling Kindersley;dorling kindersley
Tudomány Kiadó;tudomany kiado
PREMIER PRESS KIADÓ;premier press kiado
CHICAGO;chicago
Editorial De Ciencias Sociales;editorial de ciencias sociales
Pharos Kiadó;pharos kiado
Szórakaténusz Játékműhely;szorakatenusz jatekmuhely
Seuil;seuil
Michelin Travel Publications;michelin travel publications
eső könyvek;eso konyvek
Kümmerly & Frey Geogrph.Verlag;kummerly  frey geogrphverlag
Shocart;shocart
Rész-Vétel Alapítvány;reszvetel alapitvany
University of chicago press;university of chicago press
Pendragon Kiadó;pendragon kiado
The National Geographic Soc.;the national geographic soc
Plaza & Janés Editores;plaza  janes editores
VIBERO Kft.;vibero kft
Arche;arche
John Tiranti Ltd.;john tiranti ltd
Schenk Ferenc Könyvkereskedése;schenk ferenc konyvkereskedese
MUNDUS NOVUS KFT.;mundus novus kft
HOMONNAI ÉS TÁRSA KÖNYVKIADÓ K;homonnai es tarsa konyvkiado k
Országos Közegészségügyi Egy.;orszagos kozegeszsegugyi egy
BUDAKÖNYVEK KFT. - ANUKET KIADÓ BT.;budakonyvek kft  anuket kiado bt
Frigoria GMK Kiadóiroda;frigoria gmk kiadoiroda
Nelson Doubleday;nelson doubleday
SPRINT KFT.;sprint kft
Református Figyelő Főbizománya;reformatus figyelo fobizomanya
Eigenverlag;eigenverlag
Orell Füssli Verlag;orell fussli verlag
Mikszáth Kiadó;mikszath kiado
Kaposvári Egyetem;kaposvari egyetem
Nemzetközi Magyarságtud-i Társaság;nemzetkozi magyarsagtudi tarsasag
KendeArt Kft.;kendeart kft
Henry Holt and Company;henry holt and company
Magyar Irodalmi Társaság;magyar irodalmi tarsasag
Alterra Kiadó;alterra kiado
Verlag Der Nation;verlag der nation
Nitra;nitra
Banská Bystrica;banska bystrica
Belgium;belgium
Purmerend;purmerend
Beaufort Books;beaufort books
Tiszántúli Református Egyházk.;tiszantuli reformatus egyhazk
Colosseum;colosseum
Budapest Film;budapest film
Rákosi Jenő Kiadója;rakosi jeno kiadoja
Kalangya Kkt.;kalangya kkt
Gebrüder Weiss Verlag;gebruder weiss verlag
Verlag Neues Leben Berlin;verlag neues leben berlin
Howell Book House;howell book house
Barron's;barrons
Ötlet Kiadó;otlet kiado
Hiszi-Map Kft.;hiszimap kft
Librairie Hachette Et Cie;librairie hachette et cie
Trianon Kutatóintézet;trianon kutatointezet
MAECENAS KÖNYVKIADÓ KFT.;maecenas konyvkiado kft
Editorial Bruguera;editorial bruguera
MHS PRESS;mhs press
Akademische Verlagsgesellsch.;akademische verlagsgesellsch
Wilhelm Braumüller;wilhelm braumuller
Stewart;stewart
Uránusz Kiadó;uranusz kiado
MAGYAR KÖRNYEZETI NEVELÉSI EGY.;magyar kornyezeti nevelesi egy
Blueside Kft.;blueside kft
Textura Kiadó;textura kiado
ACSI Keresztény Alapítvány;acsi kereszteny alapitvany
Hufon Alapítvány;hufon alapitvany
International Music Company;international music company
Gallery Books;gallery books
Roc Book;roc book
Time-Life Amsterdam;timelife amsterdam
Nyír-Karta Bt.;nyirkarta bt
Verlag Hans Huber;verlag hans huber
Academia;academia
Sappirus Kft.;sappirus kft
Harper Perennial;harper perennial
alfa;alfa
Garlando;garlando
Xénia Kiadó;xenia kiado
Celiv;celiv
BM Tanulmányi és Prop. Csoport;bm tanulmanyi es prop csoport
CANONGATE;canongate
Corvinus Kiadó;corvinus kiado
Weltbild Verlag;weltbild verlag
Hódmezővásárhelyi Városi T.;hodmezovasarhelyi varosi t
J. F. Lehmanns Verlag;j f lehmanns verlag
Pestalozzi Verlag;pestalozzi verlag
Syllabux;syllabux
Populart füzetek;populart fuzetek
E.P. Dutton;ep dutton
Élet kiadása;elet kiadasa
Béke És Igazság Alapítvány;beke es igazsag alapitvany
SZABAD TÉR;szabad ter
National Academy Press;national academy press
Ego School Bt.;ego school bt
Verlag Paul Parey;verlag paul parey
PAULUS;paulus
PRESSES DE LA CITÉ;presses de la cite
Romániai Magyar Demokrata Sz.;romaniai magyar demokrata sz
Solo Music Bp. Zeneműkiadó;solo music bp zenemukiado
Greifenverlag zu Rudolstadt;greifenverlag zu rudolstadt
Szinyei Merse Pál Társaság;szinyei merse pal tarsasag
HODDER HEADLINE;hodder headline
MAZSIHISZ;mazsihisz
Manfred Pawlak Verlag;manfred pawlak verlag
Grafton;grafton
Athenaeum;athenaeum
Mágus;magus
Nótárius Kiadó;notarius kiado
Victoria Kiadó;victoria kiado
Magyar Levéltárosok Egyesülete;magyar leveltarosok egyesulete
Sárospataki Ref. Kollég.Theológiai;sarospataki ref kollegtheologiai
Literária kiadó;literaria kiado
MTA Jogtudományi Intézet;mta jogtudomanyi intezet
Mentor-Szanator Kft.;mentorszanator kft
Táncház Alapítvány;tanchaz alapitvany
Piatkus;piatkus
Városi Helytört.Gyűjt;varosi helytortgyujt
Mouton & Co.;mouton  co
Language for Company Bt.;language for company bt
Magyar Könyvtár Bratislava;magyar konyvtar bratislava
Kolozsvári Reform. Kollégium;kolozsvari reform kollegium
Carroll+Graf;carrollgraf
W. H. Smith & Son Ltd.;w h smith  son ltd
Chilton Company;chilton company
Egyetemi Könyvkiadó;egyetemi konyvkiado
mondAt Kiadó;mondat kiado
Past and present society;past and present society
Körmend;kormend
Tascabili Economici Newton;tascabili economici newton
Saldo;saldo
Magyar Színészek Szabad Szaksz;magyar szineszek szabad szaksz
ELEMENT;element
MEOE;meoe
Parisiis;parisiis
Bródy József;brody jozsef
Magyar Írószövetség;magyar iroszovetseg
Magyar Madártani és Term. Egy.;magyar madartani es term egy
Delphin Verlag;delphin verlag
Népszava Lapkiadó Kft.;nepszava lapkiado kft
Integral;integral
Susaeta;susaeta
Franckh'sche Verlagshandlund;franckhsche verlagshandlund
Magyar Szó;magyar szo
Magyaróvár;magyarovar
Tiszatáji Alapítvány;tiszataji alapitvany
Harper & Brothers Publishers;harper  brothers publishers
Christianus Kft.;christianus kft
Rege Kft.;rege kft
Endrényi Lajos Kiadása;endrenyi lajos kiadasa
Zenta;zenta
ELTE BTK Művelődéstörténeti Tanszék;elte btk muvelodestorteneti tanszek
Head of Zeus;head of zeus
AXEL SPRINGER-BUDAPEST KIADÓI KFT;axel springerbudapest kiadoi kft
Pannonia-Könyvnyomda;pannoniakonyvnyomda
Bertelsmann;bertelsmann
móra;mora
Sportverlag;sportverlag
T.F.H. Publications;tfh publications
Pauker Nyomdaipari Kft.;pauker nyomdaipari kft
Tartu;tartu
Mediacity Kft.;mediacity kft
KESKENY ÉS TÁRSAI 2001 KFT;keskeny es tarsai 2001 kft
Scriptores;scriptores
Broadway Books;broadway books
Magyar Posta Rt.;magyar posta rt
Plurigraf;plurigraf
Jugoszláviai Magyar Műv.Társ.;jugoszlaviai magyar muvtars
ADAC Verlag;adac verlag
Szolnok Városi Tanács;szolnok varosi tanacs
PublishDrive;publishdrive
Budapest Székesfőv. Házinyomda;budapest szekesfov hazinyomda
Kapisztrán Jánosról Nev. Ferences R;kapisztran janosrol nev ferences r
Nicolaische Verlagsbuchhandlun;nicolaische verlagsbuchhandlun
Herend Porcelain Manufactory;herend porcelain manufactory
Köhler K.F.;kohler kf
Sterling Publishing Co.;sterling publishing co
Henschel Verlag;henschel verlag
Tájak-Korok-Múzeumok Egyesület;tajakkorokmuzeumok egyesulet
Berlitz;berlitz
Pearson Education Ltd.;pearson education ltd
Komárom Megyei Lapkiadó Váll.;komarom megyei lapkiado vall
Vega;vega
Bethánia Irodalmi és Nyomdai Vállalat;bethania irodalmi es nyomdai vallalat
Midena Verlag;midena verlag
Oltalom Alapítvány;oltalom alapitvany
St. Benno-Verlag;st bennoverlag
M. DuMont Schauberg;m dumont schauberg
& kiadó; kiado
ELTE TTK Hallgatói Alapítvány;elte ttk hallgatoi alapitvany
Sarló Kiadás;sarlo kiadas
Debreceni Református Kollégium;debreceni reformatus kollegium
Perseus Publishing;perseus publishing
Chancellor Press;chancellor press
Sukoro Art Kiadó;sukoro art kiado
BEHOLDER KFT;beholder kft
Visegrád;visegrad
RECLAM;reclam
CHAPMAN AND HALL;chapman and hall
Enterprise National Du Livre;enterprise national du livre
zöld-S stúdió;zolds studio
A Dell book;a dell book
Spektrum Akademischer Verlag;spektrum akademischer verlag
Springer Média Magyarország Kft.;springer media magyarorszag kft
Artia Prag;artia prag
Herausgeber Kiadó;herausgeber kiado
Bethany House;bethany house
List Verlag;list verlag
Budapest Főváros Önkormányzat;budapest fovaros onkormanyzat
Spectrum Books;spectrum books
Osborne-McGraw-Hill;osbornemcgrawhill
DODO PRESS;dodo press
WARNER HOME VIDEO;warner home video
Newsweek Books;newsweek books
TOR BOOK;tor book
Jüdischer Verlag;judischer verlag
Electa;electa
MTA Orientalisztikai Munkak.;mta orientalisztikai munkak
Prometheus Press;prometheus press
Doblinger;doblinger
Hal Leonard;hal leonard
Székelyudvarhelyi Közösségi Alapítvány;szekelyudvarhelyi kozossegi alapitvany
Új Művészet Kiadó;uj muveszet kiado
WARNER BROS;warner bros
Óbuda-Békásmegyer Önkormányzata;obudabekasmegyer onkormanyzata
Paragon House;paragon house
Törökszentmiklósi városi t.;torokszentmiklosi varosi t
Galaktika Folyóirat;galaktika folyoirat
BIK KÖNYVKIADÓ;bik konyvkiado
O-press;opress
Text Kereskedelmi Szolg. Kft.;text kereskedelmi szolg kft
Krónika kiadó;kronika kiado
John Blake Publishing Ltd;john blake publishing ltd
Tiszántúli Ref. Egyházkerület;tiszantuli ref egyhazkerulet
Slovart Print;slovart print
Verlag Von Friedrich Cohen;verlag von friedrich cohen
Verlag Das Beste Stuttgart;verlag das beste stuttgart
Deborjó Kft.;deborjo kft
Genius Kiadó;genius kiado
Molnárok Lapja;molnarok lapja
Beaux Arts;beaux arts
Magyar Testnevelési Egyetem;magyar testnevelesi egyetem
SubRosa Kiadó;subrosa kiado
Könyvklub Kft.;konyvklub kft
Magyar Térképház Kft.;magyar terkephaz kft
Brooks Kiadó;brooks kiado
Delta 2000;delta 2000
Jugend Und Volk;jugend und volk
Blitz Editions;blitz editions
Farrar;farrar
Editorial Everest;editorial everest
BLACK & WHITE;black  white
Éditions Du Seuil;editions du seuil
Deutsches Verlagshaus Bong &..;deutsches verlagshaus bong 
KARL MAY VERLAG;karl may verlag
Publications Division;publications division
Marabout;marabout
ZRÍNYI NYOMDA RT.;zrinyi nyomda rt
HungariaSport;hungariasport
Gustavo Gili;gustavo gili
Mátra Múzeum;matra muzeum
THE HISTORY PRESS;the history press
Magvető és Szépirodalmi Kkiadó;magveto es szepirodalmi kkiado
Rowman & Littlefield Publish.;rowman  littlefield publish
Bologna Bt.;bologna bt
Janus Pannonius Múzeum;janus pannonius muzeum
Walt Disney Company;walt disney company
Albert Langen;albert langen
FSZEK;fszek
Kolumbusz Kiadó;kolumbusz kiado
APC Stúdió;apc studio
VESZPRÉMI MEGYEI MÚZEUMI IGAZGATÓSÁ;veszpremi megyei muzeumi igazgatosa
Prisma Kiadó;prisma kiado
RNR Média Kft.;rnr media kft
Oldtimer Média Kft.;oldtimer media kft
Ilford Limited;ilford limited
Budapesti Hírlap;budapesti hirlap
Evangélikus Evangélizáció;evangelikus evangelizacio
Harper Collins Kiadó;harper collins kiado
Streiffert Förlag;streiffert forlag
Playmore Inc. Publishers;playmore inc publishers
Orbis Books;orbis books
Vianco Stúdió;vianco studio
New Directions Paperbooks;new directions paperbooks
New Era Publications Int. ApS;new era publications int aps
Universitas;universitas
BUDAKÖNYVEK KFT;budakonyvek kft
Verlag Kurt Desch;verlag kurt desch
Suliker- Filum Kiadó;suliker filum kiado
Nyomdász Kiadó;nyomdasz kiado
Aszód;aszod
CMPMedica;cmpmedica
Erich Pabel Verlag;erich pabel verlag
Medical Publishers;medical publishers
Székely És Társa;szekely es tarsa
Reed International Books Ltd.;reed international books ltd
Korcsmáros Graf. és Kiad. Kft.;korcsmaros graf es kiad kft
Sanoma Budapest Kiadói Rt.;sanoma budapest kiadoi rt
Semmelweis Egyetem gyógyszertudományi kar;semmelweis egyetem gyogyszertudomanyi kar
BV Service Kft.;bv service kft
Annes Publishing Ltd.;annes publishing ltd
BBC Books;bbc books
Grosset & Dunlap;grosset  dunlap
Pro Europa;pro europa
CITY & GUILDS;city  guilds
Expressz Könyvek;expressz konyvek
Verlag Carl Ueberreuter;verlag carl ueberreuter
Malibu Records Kft.;malibu records kft
Budapest Film Kft.;budapest film kft
Pesti Hírlap Kiadása;pesti hirlap kiadasa
MAHIR-RTV;mahirrtv
Vass József Könyvkiadóhivatala;vass jozsef konyvkiadohivatala
Somogy;somogy
Priory Classics;priory classics
LEGO;lego
J.M. Dent;jm dent
Zászlónk Stúdió;zaszlonk studio
Frike Comics Kft.;frike comics kft
Julliard;julliard
Ariston Verlag;ariston verlag
Triad;triad
Ságvári Nyomda;sagvari nyomda
HarperPrism;harperprism
COLUMBIA TRISTAR HOME;columbia tristar home
Studio Editions;studio editions
CIDEB;cideb
F.C. Mayer Verlag;fc mayer verlag
Bárczi G. Gyógyped. Tanárképzo Fois;barczi g gyogyped tanarkepzo fois
Polar Studio;polar studio
Escudo de Oro;escudo de oro
K.M. Természettudom. Társulat;km termeszettudom tarsulat
Fríg Kiadó;frig kiado
Albatros;albatros
Hölder-Pilcher-Tempsky Verlag;holderpilchertempsky verlag
Einaudi;einaudi
Tate Publishing;tate publishing
Silverdale books;silverdale books
EBURY;ebury
Pegasus;pegasus
Dutton;dutton
Örökkévalóság Kft.;orokkevalosag kft
Túrkevei Kultúrális Egyesület;turkevei kulturalis egyesulet
Robert Hale & Company;robert hale  company
Diáktéka Kiadó;diakteka kiado
MÉDIA TEAM GMK.;media team gmk
Rigler József Ede;rigler jozsef ede
The Hokuseido Press;the hokuseido press
Ister;ister
Árpád Könyvkiadó Vállalat;arpad konyvkiado vallalat
Magyar Földrajzi Társaság;magyar foldrajzi tarsasag
Erich Röth-Verlag;erich rothverlag
Echter Verlag;echter verlag
Pantheon Books;pantheon books
Gustav Lübbe Verlag;gustav lubbe verlag
Concord Media Rt.;concord media rt
Berkley Medallion Books;berkley medallion books
Venezia;venezia
Publications International Ltd;publications international ltd
Tolna M. Tanács Levéltára;tolna m tanacs leveltara
Marktech Kft.;marktech kft
Városi Tanács;varosi tanacs
Borbarát;borbarat
Framo Publishing;framo publishing
Coopinvest;coopinvest
CENTURY;century
St. Martin's Paperback;st martins paperback
Hebrew Publishing Co.;hebrew publishing co
University of London Press;university of london press
Debreceni Csokonai Kör;debreceni csokonai kor
Fischer Bücherei;fischer bucherei
Lauffer Vilmos;lauffer vilmos
Veb Friedrich Hofmeister;veb friedrich hofmeister
Ferdinand Schöningh;ferdinand schoningh
Ward;ward
The British Council;the british council
Multnomah Publishers;multnomah publishers
A Del Rey Book;a del rey book
Österreichischer Bundesverlag;osterreichischer bundesverlag
Ardo;ardo
Opkm;opkm
Iránytű Kiadó;iranytu kiado
Mörk Kiadó;mork kiado
Alföldi Nyomda Rt.;alfoldi nyomda rt
Képzőmüvészeti Kiadó Kft;kepzomuveszeti kiado kft
Julius Groos;julius groos
Duna Könyvkiadó Vállalat;duna konyvkiado vallalat
Editrice Lozzi;editrice lozzi
Papír-Press Egyesülés;papirpress egyesules
Ars Edition;ars edition
Halle;halle
Urban & Schwarzenberg;urban  schwarzenberg
Summit Books;summit books
Geobook Hungary;geobook hungary
Nagy-Enyeden;nagyenyeden
Ketterer Kunst München;ketterer kunst munchen
Hajdúnánás;hajdunanas
Tiszatáj Alapítvány;tiszataj alapitvany
Nancy;nancy
Benteli Verlag;benteli verlag
Infopress Rt.;infopress rt
Axel Springer - Magyarország Kft.;axel springer  magyarorszag kft
Librairie Payot & Cie;librairie payot  cie
Királyi Egyetemi Nyomda;kiralyi egyetemi nyomda
Veszprémi nyomda;veszpremi nyomda
Stanford University Press;stanford university press
Magyarországi Zsidó Hitközségek Szövetsége;magyarorszagi zsido hitkozsegek szovetsege
Osiris Könyvesház Kft.;osiris konyveshaz kft
General Press Könyvkiadó;general press konyvkiado
Írás Kiadó;iras kiado
Palombi Editori;palombi editori
Esély Kiadó;esely kiado
München Bei Georg Müller;munchen bei georg muller
Robinson;robinson
Illia & Co. Kiadó;illia  co kiado
Vénusz Kiadó;venusz kiado
Stiefel Eurocart Kft.;stiefel eurocart kft
Eubook Könyvkiadó;eubook konyvkiado
Református Traktátus Vállalat;reformatus traktatus vallalat
Dobrowsky és Franke Bizománya;dobrowsky es franke bizomanya
Harvest Books;harvest books
Mouton Publishers;mouton publishers
Sorgerkolon Ltd.;sorgerkolon ltd
Kecskeméti Lapok Kiadása;kecskemeti lapok kiadasa
Akadémiai-Kossuth-Magvető;akademiaikossuthmagveto
NYÍR-KARTA;nyirkarta
Verlag Das Schach-Archiv;verlag das schacharchiv
Ernst Rowohlt Verlag;ernst rowohlt verlag
Pergamon;pergamon
GIUNTI EDITORE;giunti editore
Western Publishing Company;western publishing company
LADYBIRD;ladybird
Verlag Dietz;verlag dietz
T-Pentagramm Kft.;tpentagramm kft
Ted Smart;ted smart
Gondverő Kiadó;gondvero kiado
Yale University Press;yale university press
David & Charles;david  charles
UNIVERSAL;universal
Friedrich Vieweg & Sohn;friedrich vieweg  sohn
Chappell;chappell
Universal Edition;universal edition
CROWN;crown
Bethlen Gábor Szövetség;bethlen gabor szovetseg
Képes Kiadó;kepes kiado
Grant Richards;grant richards
Evergreen;evergreen
MAP Magazine Kiadó Kereskedelmi Kft.;map magazine kiado kereskedelmi kft
Kindler Verlag;kindler verlag
Sanssouci Verlag;sanssouci verlag
Carlyle Communications Ltd.;carlyle communications ltd
PREMIER MÉDIA KFT.;premier media kft
MGM Home Entertainment Inc.;mgm home entertainment inc
Octopus Books Ltd.;octopus books ltd
Rheinland-Verlag;rheinlandverlag
Corvin New-York - Budapest;corvin newyork  budapest
Bács-Kiskun megyei Nyomda Váll;bacskiskun megyei nyomda vall
Tallinn;tallinn
MEASZ;measz
Gold cast;gold cast
Mérnökök Nyomdája;mernokok nyomdaja
Alternatív Kiadó;alternativ kiado
Trezor Kiadó;trezor kiado
Livre De Poche;livre de poche
Magyar Kereskedelmi és Vendéglátóipari Múzeum;magyar kereskedelmi es vendeglatoipari muzeum
Ernest Benn Limited London;ernest benn limited london
Clarkson Potter/Publishers;clarkson potterpublishers
Papp-Ker Kft.;pappker kft
Weathervane books;weathervane books
STENCIL KULTURÁLIS ALAPÍTVÁNY;stencil kulturalis alapitvany
Pécsi Egyetemi Könyvkiadó;pecsi egyetemi konyvkiado
GATE;gate
Tormont;tormont
HALLWAG INTERNATIONAL;hallwag international
Sylvester Irodalmi Intézet;sylvester irodalmi intezet
Református Egyetemes Konvent;reformatus egyetemes konvent
Verlagsbuchhandlung;verlagsbuchhandlung
HVG Könyvek;hvg konyvek
Budapest-Debrecen;budapestdebrecen
R.A. Kft.;ra kft
Palgrave;palgrave
Princeton University Press;princeton university press
Buchet-Chastel;buchetchastel
Edelsa;edelsa
Mátrix Média Kft.;matrix media kft
Caissa Kft.;caissa kft
Ciszterci Rend;ciszterci rend
Baen Books;baen books
Horizont Press Kiadó;horizont press kiado
Hasbro;hasbro
Subotica;subotica
NOVUM PUBLISHING KFT;novum publishing kft
Dunántúli Ref.Egyházker.Tud.Gyűjtem;dunantuli refegyhazkertudgyujtem
Budapest Főváros Tanácsa;budapest fovaros tanacsa
Manréza Kiadó;manreza kiado
CASH KÖNYVKIADÓ;cash konyvkiado
Sotheby's;sothebys
Insel-Verlag;inselverlag
Gyldendal;gyldendal
Országos Természetvédelmi Hiv.;orszagos termeszetvedelmi hiv
Orex Bt.;orex bt
Hellas Irodalmi és Nyomdai RT.;hellas irodalmi es nyomdai rt
Mosel Verlag;mosel verlag
Magyar Egyházzenei Társaság;magyar egyhazzenei tarsasag
Minstrel;minstrel
MTA POLITIKATUD.BIZOTTSÁGA;mta politikatudbizottsaga
Rockcity Kft.;rockcity kft
Public Affairs;public affairs
Silva-Verlag;silvaverlag
Deutscher MilitÄrverlag;deutscher militarverlag
Jate Kiadó;jate kiado
Mladé letá;mlade leta
Szöveglabor;szoveglabor
Todtri;todtri
Rowohlt Hamburg;rowohlt hamburg
Athen;athen
Bonechi;bonechi
Hestia Verlag;hestia verlag
PANNON AGRÁRTUD.EGY.MEZŐGAZD.;pannon agrartudegymezogazd
Budapest Kiadó;budapest kiado
Polskie Wydawnictwo Muzyczne;polskie wydawnictwo muzyczne
Bethlen Gábor Könyvkiadó;bethlen gabor konyvkiado
Magyar Tud. Akadémia Kkiadóhiv;magyar tud akademia kkiadohiv
NOK Kiadó;nok kiado
Regulus Art Kft.;regulus art kft
Mariner Books;mariner books
Hippokrates Verlag;hippokrates verlag
VEB Gustav Fischer Verlag Jena;veb gustav fischer verlag jena
Grove press;grove press
VINTAGE US;vintage us
Globus;globus
Pestvidéki Nyomda Vácon;pestvideki nyomda vacon
KENT MAGYARORSZÁG KFT;kent magyarorszag kft
GUSTO.HU KFT;gustohu kft
Little;little
Evangélikus Sajtóosztály (Luther Ki;evangelikus sajtoosztaly luther ki
Általános Nyomda Rt.;altalanos nyomda rt
Residenz Verlag;residenz verlag
The University Of Chicago Press;the university of chicago press
Rudolf Habelt Verlag;rudolf habelt verlag
Pomurska zalozba;pomurska zalozba
MSZMP KB Társadalomtud. Int.;mszmp kb tarsadalomtud int
DOTE;dote
Alföldi Nyomda Debrecen;alfoldi nyomda debrecen
Erdélyi Híradó Könyvkiadó;erdelyi hirado konyvkiado
Rakéta Könyvkiadó;raketa konyvkiado
ITK;itk
Herczka Árpád Kiadása;herczka arpad kiadasa
Szőnyi István Alapítvány;szonyi istvan alapitvany
Nyírségi Nyomda;nyirsegi nyomda
Litera Nova Kiadó;litera nova kiado
Tárki;tarki
Edition Schott;edition schott
Marnitz Frigyes;marnitz frigyes
Kisgörgényi Bartha Ferenc;kisgorgenyi bartha ferenc
Ernst Eulenburg;ernst eulenburg
Gyomai Kner Nyomda Rt.;gyomai kner nyomda rt
Mezőtúr;mezotur
Révai És Salamon Könyvnyomdája;revai es salamon konyvnyomdaja
Dell Book;dell book
Curtis Books;curtis books
J.B. Lippincott Company;jb lippincott company
BERKLEY BOOK;berkley book
KTM Természetvédelmi Hivatala;ktm termeszetvedelmi hivatala
Golgota Keresztény Gyülekezet;golgota kereszteny gyulekezet
Neri Pozza Editore;neri pozza editore
School Bt.;school bt
Best Hollywood;best hollywood
OTK Kft.;otk kft
Breitkopf & Härtel;breitkopf  hartel
Hemma Kiadó;hemma kiado
Ráday Könyvesház;raday konyveshaz
MME;mme
Pro-Sec Kft.;prosec kft
Permabooks;permabooks
Editions De Vecchi;editions de vecchi
Gallimard Folio;gallimard folio
Tokyo;tokyo
Győr-Sopron megyei Id.forg.Hiv;gyorsopron megyei idforghiv
