Author;Author_Std
AFFINITY KONAR;affinity konar
LAVINIA COMAN;lavinia coman
SARINA BOWEN;sarina bowen
STEFANIA DINU;stefania dinu
ELIZABETH KOLBERT;elizabeth kolbert
DAN CHIRIAC;dan chiriac
ANA ALEXANDRU OLARIU;ana alexandru olariu
ELIAS TADEUS;elias tadeus
ELLE COSIMANO;elle cosimano
JAMIE OLIVER;jamie oliver
PARINOUSH SANIEE;parinoush saniee
WILLIAM STADIEM;william stadiem
NICOLAE MANOLESCU;nicolae manolescu
GEORGE BARITIU;george baritiu
RARES MOLDOVAN;rares moldovan
ION BARBU;ion barbu
MARIA DOBRESCU;maria dobrescu
CAI FANG;cai fang
CATALIN PREDOIU;catalin predoiu
DINICA CIOBOTEA;dinica ciobotea
ELENA SAULEA;elena saulea
E.M. FORSTER;em forster
TEODOR MORARU;teodor moraru
AARON VASILE;aaron vasile
PHILIP JENKINS;philip jenkins
SMRITI HALLS;smriti halls
NICOLAE HAVRILIUS;nicolae havrilius
EVA ANCA HAMZA;eva anca hamza
JON ACUFF;jon acuff
KOCSIS FRANCISKO;kocsis francisko
RADU CIOBOTEA;radu ciobotea
A.C. GRAYLING;ac grayling
QUENTIN GREBAN;quentin greban
POP CLAUDIA FLORINA;pop claudia florina
IACOB ALTMAN;iacob altman
R. L. LAFEVERS;r l lafevers
ARTHUR KOESTLER;arthur koestler
FLORIN GRECU;florin grecu
RAISSA MARITAIN;raissa maritain
ANA BARBULESCU;ana barbulescu
ANGELA JIA KIM;angela jia kim
GAYLE BRANDEIS;gayle brandeis
LACRAMIOARA STOENESCU;lacramioara stoenescu
GESHE MICHAEL ROACH;geshe michael roach
VASILE MUNTENITA;vasile muntenita
SCARLETT ST. CLAIR;scarlett st clair
GILL RAPLE;gill raple
LESZEK KOLAKOWSKI;leszek kolakowski
KHALIL GIBRAN;khalil gibran
DANIEL NITU;daniel nitu
OANA HAJOS;oana hajos
MADELEINE DENY;madeleine deny
ISABEL CANAS;isabel canas
MIHAI ALEXANDRU;mihai alexandru
EUGEN SIMION;eugen simion
VASILE ROMANCIUC;vasile romanciuc
RAPHAEL GABUTHELON;raphael gabuthelon
CHARLES WHITING;charles whiting
MIHAI BUZEA;mihai buzea
ADRIAN T. SIRBU;adrian t sirbu
SUSANNE GERNHAUSER;susanne gernhauser
MICHEL KUBLER;michel kubler
GABRIEL MACSIM;gabriel macsim
GERONIMO STILTON;geronimo stilton
DANIEL ARASSE;daniel arasse
ALINA GEORGETA MAG;alina georgeta mag
MIHAELA BILIC;mihaela bilic
SORIN MIHAI BARBIERU;sorin mihai barbieru
JASON JENNINGS;jason jennings
VLAD ZOGRAFI;vlad zografi
MUSTAFA SULEYMAN;mustafa suleyman
HERUVIM KARAMBELAS;heruvim karambelas
ALFONSO ARMADA;alfonso armada
DAN TOMOZEI;dan tomozei
PAMELA BUTCHART;pamela butchart
STEF WADE;stef wade
LATIFA GALLO;latifa gallo
DARIE CRISTEA;darie cristea
SHAUN TAN;shaun tan
ION I. CROITORU;ion i croitoru
NICOLAE VASILE;nicolae vasile
MARIUS COSMEANU;marius cosmeanu
VLADIMIR ZODIAN;vladimir zodian
SOPHIE BROCAS;sophie brocas
ION RUSU ABRUDEANU;ion rusu abrudeanu
SUSANA LOPEZ RUBIO;susana lopez rubio
MARY ELLEN TAYLOR;mary ellen taylor
ALIONA GRATI;aliona grati
KEITH SCOTT-MUMBY;keith scottmumby
GABRIELA VIORICA MUNTEANU;gabriela viorica munteanu
SERGHIE;serghie
MIHAIL VAKULOVSK;mihail vakulovsk
NATHALIE CLEFAS;nathalie clefas
IRINA BINDER;irina binder
J. R. WARD;j r ward
ROMANO GUARDINI;romano guardini
GEORGE A. MALONEY;george a maloney
RADU PAVEL GHEO;radu pavel gheo
MITCH ALBOM;mitch albom
AUDUR AVA OLAFSDOTTIR;audur ava olafsdottir
ROBERT D. KAPLAN;robert d kaplan
MAC BARNETT;mac barnett
OLIVIER DUPIN;olivier dupin
SUZANNE COLLINS;suzanne collins
IOAN CHELARU;ioan chelaru
LIVIU IANCU;liviu iancu
HORIA TECAU;horia tecau
KRISTEN FULTON;kristen fulton
GABRIELLE GUVENEL;gabrielle guvenel
DIRK GIESELMANN;dirk gieselmann
CARLO ROVELLI;carlo rovelli
MARTYN RADY;martyn rady
CORNELIA FUNKE;cornelia funke
IONEL NEDELCU;ionel nedelcu
OCTAVIAN MARDALE;octavian mardale
LOREDANA JUMARA;loredana jumara
EVE ENSLER;eve ensler
IOAN NEACSU;ioan neacsu
MARIA SEVTOVA;maria sevtova
BETTY CAYOUETTE;betty cayouette
VIDA GABOR;vida gabor
EMILIA DAVID;emilia david
ANNE ROONEY;anne rooney
VIRGIL BOTNARU;virgil botnaru
EMILY BRONTE;emily bronte
DOINA JELA;doina jela
MIHAELA MALEA STROE;mihaela malea stroe
LOUIS PERGAUD;louis pergaud
ROBERT MACFARLANE;robert macfarlane
FREDERIC LALOUX;frederic laloux
JENNIFER PROBST;jennifer probst
DORU PACURAR;doru pacurar
VIOREL CERNICA;viorel cernica
MIGUEL BONNEFOY;miguel bonnefoy
MONTESSORI MARIA;montessori maria
GHEORGHE MANEA;gheorghe manea
GIORGIO AGAMBEN;giorgio agamben
NINA HRUSCIOVA;nina hrusciova
ANNIE GRACE;annie grace
EMIL DRAGAN;emil dragan
BORIS VOLODARSKI;boris volodarski
GABRIELLE BERNSTEIN;gabrielle bernstein
CLAUDIA PINEIRO;claudia pineiro
HEIDI SAWYER;heidi sawyer
IGOR BOGDANOV;igor bogdanov
ARIANNA CANDELL;arianna candell
WILLIAM PENE DU BOIS;william pene du bois
SEPTIMIU CHELCEA;septimiu chelcea
ANGIE THOMAS;angie thomas
EDOUARD LOUIS;edouard louis
ROB LLOYD JONES;rob lloyd jones
EMIL GARLEANU;emil garleanu
VASILE MUSTE;vasile muste
BRIAN R. LITTLE;brian r little
KATIA MROWIEC;katia mrowiec
BEN FOGLE;ben fogle
UELL STANLEY ANDERSEN;uell stanley andersen
RAUL POPESCU;raul popescu
MOON;moon
ANTON ADAMUT;anton adamut
LUC BESSON;luc besson
CIPRIAN PORUMBESCU;ciprian porumbescu
IVO DIMA;ivo dima
GIOVANNI BOTERO;giovanni botero
SIMON T. BAILEY;simon t bailey
GHEORGHE-LIVIU ZIDARU;gheorgheliviu zidaru
ADRIAN MIHALTIANU;adrian mihaltianu
MATTHEW JUKES;matthew jukes
IOAN MARGINEAN;ioan marginean
HENRIETTE WICH;henriette wich
MARIA M. DELGADO;maria m delgado
DANIEL DEFOE;daniel defoe
DANA APOSTOL TOFAN;dana apostol tofan
JENNY ASHCROFT;jenny ashcroft
IRENE POSTOLACHE;irene postolache
ANA MANESCU;ana manescu
DAN CEAICOVSCHI;dan ceaicovschi
ALEXANDRU DIAC;alexandru diac
ADINA POPESCU;adina popescu
OVIDIU BOJOR;ovidiu bojor
GEORGE ALBUT;george albut
ANDREEA STOICAN;andreea stoican
ANDREI CRACIUN;andrei craciun
PEPPER SCHWARTZ;pepper schwartz
ANTON GOLOPENTIA;anton golopentia
PATRICIA CIHODARU;patricia cihodaru
MEMY SELFANDI;memy selfandi
CHARLES PHILLIPS;charles phillips
SFANTUL DIMITRIE AL ROSTOVULUI;sfantul dimitrie al rostovului
BOGDAN O. POPESCU;bogdan o popescu
SHAINA RUDOLPH;shaina rudolph
LARISA RENAR;larisa renar
ALICE MUNRO;alice munro
CRISTIAN ANDREI SARAU;cristian andrei sarau
PHILIPP VANDENBERG;philipp vandenberg
DALE CARNEGIE & ASSOCIATES;dale carnegie  associates
NASSIM NICHOLAS TALEB;nassim nicholas taleb
ION TANASESCU;ion tanasescu
CHARLES DARWIN;charles darwin
PHILIPPE BEAUSSANT;philippe beaussant
KONYA ZOLTAN;konya zoltan
MIKA WALTARI;mika waltari
STEPHEN FRY;stephen fry
CONSTANTIN CONSTANTINESCU;constantin constantinescu
ALEXANDRU MAMINA;alexandru mamina
EMILIAN M. ICE;emilian m ice
PHILIP PULLMAN;philip pullman
SIMONA LUNGU;simona lungu
CADE METZ;cade metz
THOMAS ORLIK;thomas orlik
MICHAEL KNOWLES;michael knowles
ROBERT CIALDINI;robert cialdini
RALUCA KISESCU;raluca kisescu
CHRISTINA HERKERT SCHUL;christina herkert schul
DUMITRU AUGUSTIN DOMAN;dumitru augustin doman
LUCIAN SUCIU;lucian suciu
KEN JENNINGS;ken jennings
MATEI-ROMEO PITULAN;mateiromeo pitulan
ADRIAN POP;adrian pop
YAEL VAN DER WOUDEN;yael van der wouden
ISOBEL CARLSON;isobel carlson
AURELIA MARIN;aurelia marin
LIVIA IOANA RETEA;livia ioana retea
DENIS GINGRAS;denis gingras
SIMEON KRAIOPOULOS;simeon kraiopoulos
MARIN DINU;marin dinu
CATHERINE HUANG;catherine huang
OLIVIU PUIE;oliviu puie
ION ZUBASCU;ion zubascu
PAUL TEODORESCU;paul teodorescu
ANDREW CLEMENTS;andrew clements
NICOLE C. VOSSELER;nicole c vosseler
BARBU STEFANESCU-DELAVRANCEA;barbu stefanescudelavrancea
ADRIAN BARBIERU;adrian barbieru
MATT WESOLOWSKI;matt wesolowski
DOLORES CANNON;dolores cannon
ALICE SCHERTLE;alice schertle
LIVIA IACOB;livia iacob
RADU SLAVOIU;radu slavoiu
MAUD ANKAOUA;maud ankaoua
TIMOTHY FERRISS;timothy ferriss
RACHEL HOLLIS;rachel hollis
PARINTELE ARHIEREU IRINEU;parintele arhiereu irineu
BARRY STRAUSS;barry strauss
PAULO COELHO;paulo coelho
SARAH LARK;sarah lark
OLIMPIU NUSFELEAN;olimpiu nusfelean
PAUL BACOSCA;paul bacosca
YONGEY MINGYUR RINPOCHE;yongey mingyur rinpoche
ION BUZASI;ion buzasi
ARMIN THEMESL;armin themesl
JAUME CABRE;jaume cabre
IOAN VISTEA;ioan vistea
LUCIAN PRICOPIE;lucian pricopie
MAURICE J. ELIAS;maurice j elias
IOAN HOLBAN;ioan holban
NICOLAE AVRAM;nicolae avram
ALEXANDRU VOLACU;alexandru volacu
ANNEKE GERBRANDS;anneke gerbrands
PAULINA POPA;paulina popa
EVGHENI VODOLAZKIN;evgheni vodolazkin
ANDREI ZANCA;andrei zanca
THOMAS SPRINGER;thomas springer
NICOLAIE ALEXANDRU;nicolaie alexandru
IOAN PETRU CULIANU;ioan petru culianu
ALEXANDRU LASZLO;alexandru laszlo
THOMAS E. WOODS JR.;thomas e woods jr
ANNABELLE KREMER;annabelle kremer
ANNA WAGENHOFF;anna wagenhoff
IRINA VODITA;irina vodita
ADRIAN STOICA;adrian stoica
WOLFGANG KAWOLLEK;wolfgang kawollek
HEIKE FALLER;heike faller
LAURA HUGHES;laura hughes
ASTRID LINDGREN;astrid lindgren
EDEL VERLAGSGRUPPE;edel verlagsgruppe
MARISA VESTITA;marisa vestita
EOIN DEMPSEY;eoin dempsey
MAURICE MIRCEA NOVAC;maurice mircea novac
ION VASILE SERBAN;ion vasile serban
DANA VOLOSEVICI;dana volosevici
PHILIPPE J. DUBOIS;philippe j dubois
ILIOARA GENOIU;ilioara genoiu
ROBERT T. KIYOSAKI;robert t kiyosaki
JEANINE CUMMINS;jeanine cummins
PAMELA MEYER;pamela meyer
DAN MIZRAHY;dan mizrahy
ATTILIO SPECIANI;attilio speciani
GRAEME DONALD;graeme donald
CAMELIA LOVIN;camelia lovin
ERIC PUYBARET;eric puybaret
GABRIELA TANASE;gabriela tanase
PETRUTA PETRE;petruta petre
ANDREI RUSE;andrei ruse
DOINA RAD;doina rad
LESZEK KOŁAKOWSKI;leszek koakowski
P. RUIZ TRUJILLO;p ruiz trujillo
RICK STRASSMAN;rick strassman
CHRISTINE FERET-FLEURY;christine feretfleury
MARTA COZMIN;marta cozmin
NICHOLAS CAMPION;nicholas campion
MACRINA OPROIU;macrina oproiu
JOSHUA MAX FELDMAN;joshua max feldman
CRISTIAN BADILITA;cristian badilita
DELIA STEINBERG GUZMAN;delia steinberg guzman
OLIVIER ASSOULY;olivier assouly
MATT FITZGERALD;matt fitzgerald
ION D. SIRBU;ion d sirbu
MARTHA WELLS;martha wells
SUSAN ELIZABETH PHILLIPS;susan elizabeth phillips
STEPHEN HARDING;stephen harding
THEODORE JOHN KACZYNSKI;theodore john kaczynski
HOLAN LIANG;holan liang
HILLARY RODHAM CLINTON;hillary rodham clinton
OLGA GRUSHIN;olga grushin
MAYA SORIAN;maya sorian
SIMION FLOREA MARIAN;simion florea marian
ROMINA CAJA;romina caja
PAUL TANICIUI;paul taniciui
DIANA URBAN;diana urban
NICOLINA HALGAS;nicolina halgas
JOHN FOWLES;john fowles
JUAN M. ROSAS SANTOS;juan m rosas santos
TUDOR DINU;tudor dinu
NICK CAVE;nick cave
JEREMY ENGLAND;jeremy england
CONSTANTIN MITRACHE;constantin mitrache
ANDREEA RANGU;andreea rangu
J. BOUSFIELD;j bousfield
FLORENTIN SORESCU;florentin sorescu
FLORIN CANTEC;florin cantec
TONY ROSSITER;tony rossiter
JOHANNES BRAHMS;johannes brahms
WOLFRAM ZU MONDFELD;wolfram zu mondfeld
LUCY COOKE;lucy cooke
XENIA IORDACHI HAGIU;xenia iordachi hagiu
MIGUEL DE CERVANTES;miguel de cervantes
GEORGE ORWELL;george orwell
VIORICA NAGACEVSCHI;viorica nagacevschi
CLAIRE AUBE;claire aube
I. AL. BRATESCU-VOINESTI;i al bratescuvoinesti
MIGUEL LEON-PORTILLA;miguel leonportilla
JOHN CLARE;john clare
JAMIE BECK;jamie beck
ALINA NELEGA;alina nelega
SERGE MOSCOVICI;serge moscovici
C. DIACONU;c diaconu
YVES NAMUR;yves namur
S.A. COSBY;sa cosby
JOEL LEVY;joel levy
IZABELA CONSTANTIN;izabela constantin
SAIFEDEAN AMMOUS;saifedean ammous
CLIFFORD GEERTZ;clifford geertz
FLORENCE NOVILLE;florence noville
CORNEL DINU;cornel dinu
CLAUDIA SOMBORY;claudia sombory
NASTY MARIAN VLADOIU;nasty marian vladoiu
CONSTANTA BUZEA;constanta buzea
GAROAFA COMAN;garoafa coman
ARAM Μ. FRENKIAN;aram  frenkian
REIF LARSEN;reif larsen
PAUL DAVID TRIPP;paul david tripp
LILIANA BADEA;liliana badea
CRACIUN DAN;craciun dan
LUIS FERNANDO VERISSIMO;luis fernando verissimo
GABRIEL GAFITA;gabriel gafita
ADRIANA STEFAN;adriana stefan
ANCA CAZACU;anca cazacu
ALICE WINN;alice winn
VIRGIL TANASE;virgil tanase
JOHN GOTTMAN;john gottman
MUZIO CLEMENTI;muzio clementi
RODRIGO GUZMAN BARROS;rodrigo guzman barros
BELL HOOKS;bell hooks
GERTA VANDERBROEK;gerta vanderbroek
HOLLY WEBB;holly webb
DOREL VISAN;dorel visan
ANTOINE DE SAINT-EXUPERY;antoine de saintexupery
DAVID POWLISON;david powlison
VIOLETA CIOABA;violeta cioaba
RANDALL B. SMITH;randall b smith
EMILIO GARCIA GARCIA;emilio garcia garcia
ALI STANDISH;ali standish
TRAIAN FURNEA;traian furnea
MIHAI MITREA-CELARIANU;mihai mitreacelarianu
ROXANA LAZAR;roxana lazar
PAULETTE BOURGEOIS;paulette bourgeois
CEZAR IVAN COLITA;cezar ivan colita
MIHAI PASCARU;mihai pascaru
FLORIN GHEORGHITA;florin gheorghita
ALINA ION;alina ion
PAUL PERRY;paul perry
AURELIE CHIEN CHOW CHINE;aurelie chien chow chine
JESSICA ROUX;jessica roux
OVIDIU DRUHORA;ovidiu druhora
IOAN ZAGREANU;ioan zagreanu
EMIL BELU;emil belu
BURTON PAUL;burton paul
RAMON SOLSONA;ramon solsona
IONUT CALOTA;ionut calota
FUNG JASON;fung jason
DON FREEMAN;don freeman
ADRIAN SONCA;adrian sonca
MIA CASSANY;mia cassany
IULIA TALMACIU;iulia talmaciu
YOKO OGAWA;yoko ogawa
P.Z. REIZIN;pz reizin
MARINE GERALD;marine gerald
YUKARI IWATANI KANE;yukari iwatani kane
DANIEL DINCA;daniel dinca
JOHANN HARI;johann hari
MARISHA PESSL;marisha pessl
VALERIU CERBA;valeriu cerba
MARIA CERNAVODEANU;maria cernavodeanu
IVONA STOICA;ivona stoica
MICHELLE BUCHANAN;michelle buchanan
COMPOZITORI ROMANI;compozitori romani
CONSTANTIN PATULEANU;constantin patuleanu
ANDREI KURKOV;andrei kurkov
JONAS T. BENGTSSON;jonas t bengtsson
LITVAK MIHAIL;litvak mihail
GEORGIANA DANILA;georgiana danila
DMITRI HMELNITKI;dmitri hmelnitki
TEDY ARMAN;tedy arman
SARAH DESSEN;sarah dessen
ROGER CROWLEY;roger crowley
BEATRICE LIBERT;beatrice libert
JACK DANIELS;jack daniels
ANNIE KAGAN;annie kagan
BILL DARLISON;bill darlison
MACIEJ BIELAWSKI;maciej bielawski
ADRIANA BADILESCU;adriana badilescu
EUAN ANGUS ASHLEY;euan angus ashley
J.C. CERVANTES;jc cervantes
NICOLETA MIRELA NASTASIE;nicoleta mirela nastasie
KATE HAMER;kate hamer
PETER HEATHER;peter heather
RADU PARPAUTA;radu parpauta
CHANDIDAS;chandidas
MARIA IORDANIDOU;maria iordanidou
NAZIRAN;naziran
RADU STANCU;radu stancu
LARRY WINGET;larry winget
TEODOR SCORTESCU;teodor scortescu
DUMITRU I. HANCU;dumitru i hancu
ROMAIN ROLLAND;romain rolland
MARISSA STAPLEY;marissa stapley
JULIA RAWLINSON;julia rawlinson
KRISTEN LOESCH;kristen loesch
CARMEN EUGENIA COSTEA;carmen eugenia costea
TONY BUSH;tony bush
DANIEL FRIEBE;daniel friebe
PIERGIORGIO ODIFREDDI;piergiorgio odifreddi
VIRGIL ANDRONESCU;virgil andronescu
GEORGE G. ECHIM;george g echim
FLORIN DAN PRODAN;florin dan prodan
SOFI OKSANEN;sofi oksanen
MEGAN MIRANDA;megan miranda
ROMULUS BUCUR;romulus bucur
SOULEYMANE BACHIR DIAGNE;souleymane bachir diagne
MICHAEL GURIAN;michael gurian
EMMANOUIL ROIDIS;emmanouil roidis
IRENA BREZNA;irena brezna
YVES BONNEFOY;yves bonnefoy
LUCI CAVALLERO;luci cavallero
DANA PREDU;dana predu
DECEBAL BUGARIU;decebal bugariu
DRAGOS VOICU;dragos voicu
C. PIERCE SALGUERO;c pierce salguero
ADALINA ROTARU;adalina rotaru
STEFANIE STAHL;stefanie stahl
PETER JACOBI;peter jacobi
KIM GHATTAS;kim ghattas
AMIT GOSWAMI;amit goswami
MIHAI RADU;mihai radu
MARCEL PROUST;marcel proust
KELLY RIMMER;kelly rimmer
JENNIFER MOORE-MALLINOS;jennifer mooremallinos
GABRIELA ADAMESTEANU;gabriela adamesteanu
GUSTAVE FLAUBERT;gustave flaubert
ZAKIYA DALILA HARRIS;zakiya dalila harris
IEROMONAHUL ANTONIE ROMEOS;ieromonahul antonie romeos
VALERIA DOCAMPO;valeria docampo
ALIS POPA;alis popa
ARNOLD SCHWARZENEGGER;arnold schwarzenegger
S.K. BARNETT;sk barnett
BEN DUPRE;ben dupre
DORIN ISOC;dorin isoc
RALUCA MARCHIS;raluca marchis
ANGHEL DOINA;anghel doina
ANCA MARIA MOSORA;anca maria mosora
THANAS MEDI;thanas medi
CHIARA PIRODDI;chiara piroddi
MARIA CRISTINA SERBAN;maria cristina serban
KATHY IRELAND;kathy ireland
JAN WIESE;jan wiese
EUGEN MIHAESCU;eugen mihaescu
SHARI LAPENA;shari lapena
BARBRO LINDGREN;barbro lindgren
ALINA ILINCA;alina ilinca
BOGDAN TATARU-CAZABAN;bogdan tatarucazaban
CAMELIA VOICU;camelia voicu
PEITX MONICA;peitx monica
DAVID LONG;david long
MAJA VON VOGEL;maja von vogel
KATARINA GORELIK;katarina gorelik
MICHEL HOUELLEBECQ;michel houellebecq
CONSTANDIN BUTOI;constandin butoi
GEORGE BARON LOVENDAL;george baron lovendal
MIHAIL DRUMES;mihail drumes
ALEXANDRA LOPOTARU;alexandra lopotaru
ALINA-EMILIA CIORTEA;alinaemilia ciortea
GEORGEANNE BRENNAN;georgeanne brennan
ALIN LEANCA;alin leanca
CONSTANTIN DUDU ROTARU;constantin dudu rotaru
VLAD T. POPESCU;vlad t popescu
ANNA SOJKA;anna sojka
ALEXANDRU CIORANESCU;alexandru cioranescu
CRISTINNE C.C.;cristinne cc
SORIN PREDA;sorin preda
HERMES TRISMEGISTOS;hermes trismegistos
CARINA LUIZA HOJDA;carina luiza hojda
KAREN RANEY;karen raney
JUAN PABLO VILLALOBOS;juan pablo villalobos
ALEXANDRU PATRUTI;alexandru patruti
SANTIAGO GAMBOA;santiago gamboa
FREDERIC SALDMANN;frederic saldmann
FLORENTINA SAMIHAIAN;florentina samihaian
SUE BRIERLEY;sue brierley
LETA CUCU;leta cucu
NAN SILVER;nan silver
ANDREW TAYLOR;andrew taylor
SERGHEI ESENIN;serghei esenin
KIM ARNOLD;kim arnold
ROBINNE LEE;robinne lee
PIERRE VIANIN;pierre vianin
PETER V. BRETT;peter v brett
INALTA CURTE DE CASATIE SI JUSTITIE;inalta curte de casatie si justitie
ADRIAN MARIN;adrian marin
MINE G. KIRIKKANAT;mine g kirikkanat
JODI GOLD;jodi gold
RAMONA MARIA BOCHIE;ramona maria bochie
CRISTIAN TRONCOTA;cristian troncota
EMA STERE;ema stere
ANCA ELENA COSTARU;anca elena costaru
CATALINA FLORINA FLORESCU;catalina florina florescu
ANCA BOERIU;anca boeriu
FORUGH FARROKHZAD;forugh farrokhzad
VERUSKA MOTTA;veruska motta
THOMAS HARDING;thomas harding
LYNDA EDWARDS;lynda edwards
VASILE PARVAN;vasile parvan
CORNEL PAVEL DARVASAN;cornel pavel darvasan
AVNI DOSHI;avni doshi
LUMINITA SAMBOTIN;luminita sambotin
HERMANN HESSE;hermann hesse
THOMAS CATHCART;thomas cathcart
SZILAGYI ARPAD;szilagyi arpad
JANINA RAMIREZ;janina ramirez
JOSE MARIA LEON PEREZ;jose maria leon perez
JULIE SOTO;julie soto
ANCA PAUNESCU;anca paunescu
VASILE ANDRU;vasile andru
RODDY DOYLE;roddy doyle
FAWZIA ZOUARI;fawzia zouari
PETER STOTHARD;peter stothard
MATTHEW FITZSIMMONS;matthew fitzsimmons
RACHEL KUSHNER;rachel kushner
FERNANDO PESSOA;fernando pessoa
MARIA CERNATESCU;maria cernatescu
LAURA HARTTE;laura hartte
ILIESCU ILEANA;iliescu ileana
LUCA STEFAN OUATU;luca stefan ouatu
OVIDIU DRUGA;ovidiu druga
ALEXANDRU N. STERMIN;alexandru n stermin
BENJAMIN SPOCK;benjamin spock
CORNEL BALAN;cornel balan
NIKOLAI GOGOL;nikolai gogol
VLADIMIR LORCENKOV;vladimir lorcenkov
MIRCEA COSEA;mircea cosea
PETRU CRETIA;petru cretia
KARACSONYI ZSOLT;karacsonyi zsolt
ANDRE HODEIR;andre hodeir
LUCIA OVEZEA;lucia ovezea
CRISTIAN CONSTANTINESCU;cristian constantinescu
GHEORGHE FILIP;gheorghe filip
SARAH HALL;sarah hall
LIANE MORIARTY;liane moriarty
VASILE DEM. ZAMFIRESCU;vasile dem zamfirescu
ANA-MARIA TANDARA;anamaria tandara
NICOLAE DOBRISAN;nicolae dobrisan
ION MITICAN;ion mitican
DANIELA KUNKEL;daniela kunkel
TORSTEN BECKER;torsten becker
CATALIN GHITA;catalin ghita
NICOLAE MAZILU;nicolae mazilu
MIRUNA SMIT;miruna smit
ROBERT SILVERBERG;robert silverberg
GELLU NAUM;gellu naum
IOANA EM. PETRESCU;ioana em petrescu
ALEC BLENCHE;alec blenche
MARIN SORESCU;marin sorescu
LUIS LEANTE;luis leante
KYRE;kyre
STEPHANIE BAUDET;stephanie baudet
CHARLES RICHARDS;charles richards
IVAN MIHAILOVICI ANDREEV;ivan mihailovici andreev
SHUNRYU SUZUKI;shunryu suzuki
GUSTAV SPET;gustav spet
LEONARD MLODINOW;leonard mlodinow
ADRIANA DEAC;adriana deac
JOHN BUCHAN;john buchan
EVGHENIOS TRIVIZAS;evghenios trivizas
STEFAN BECA;stefan beca
WALTER UBELHART;walter ubelhart
ALEXANDRU DAVIDIAN;alexandru davidian
GHEORGHE VIRTOSU;gheorghe virtosu
MARY MEDLICOTT;mary medlicott
PAPA FRANCISC;papa francisc
IOANA TRICA;ioana trica
MELANIA CINCEA;melania cincea
MARIUS JURCA;marius jurca
SORIN CRISAN;sorin crisan
TUDOR STANCU;tudor stancu
PAULINE PETERS;pauline peters
JOHNATHAN HARRIS;johnathan harris
PIERRE HADOT;pierre hadot
ALASTAIR REYNOLDS;alastair reynolds
SORIN BOCANCEA;sorin bocancea
JOHN FREEMAN;john freeman
UWE MICHAEL LANG;uwe michael lang
GLENN COOPER;glenn cooper
DAVIDE MOROSINOTTO;davide morosinotto
GEORGE COSBUC;george cosbuc
ANTHONY S FAUCI MD;anthony s fauci md
ALICE CLAYTON;alice clayton
TRAIAN BERBECEANU;traian berbeceanu
ADINA MARTA SUSNEA;adina marta susnea
DAN CONSTANTIN MIREANU;dan constantin mireanu
SERGIO PITOL;sergio pitol
SOPHIE YANOW;sophie yanow
REBEKAH MAROON;rebekah maroon
MARTHA STARK;martha stark
AURORA MARTIN;aurora martin
ECATERINA HANGANU;ecaterina hanganu
NICHOLAS DIMA;nicholas dima
ANDREI FILOTTI;andrei filotti
ANCA HATIEGAN;anca hatiegan
LAURENTIU CIORNEI;laurentiu ciornei
FLORIN GHIOCA;florin ghioca
IOAN SERBAN MANOLE;ioan serban manole
NICOLAE PURDA;nicolae purda
IZABELLA WENTZ;izabella wentz
GEORGE FRIEDMAN;george friedman
LUCA NOVELLI;luca novelli
SILVIU BUZAN;silviu buzan
ABDELWAHAD EL-AFFENDI;abdelwahad elaffendi
DANA FODOR MATEESCU;dana fodor mateescu
PAVEL NEDELCU;pavel nedelcu
RONAN MOORE;ronan moore
FRANK HERBERT;frank herbert
SERBAN FOARTA;serban foarta
DACHER KELTNER;dacher keltner
COSTEL PIRNAU;costel pirnau
OVIDIU PREDESCU;ovidiu predescu
DUMITRU PARASCA;dumitru parasca
ETIENNE GILSON;etienne gilson
RADU BALTASIU;radu baltasiu
GARETH HINDS;gareth hinds
"PAUL ""SLAYER"" GRIGORIU";paul slayer grigoriu
NARCIS DORIN ION;narcis dorin ion
LARS KLINTING;lars klinting
IOANA DRAGULIN;ioana dragulin
FLORENTINA ANGHEL;florentina anghel
RADU TUCULESCU;radu tuculescu
GEORGE GERSHWIN;george gershwin
MEGHAN O'GIEBLYN;meghan ogieblyn
JUSTIN MAROZZI;justin marozzi
LIVIU STOICOVICIU;liviu stoicoviciu
GEORGE STEINER;george steiner
MONA CHOLLET;mona chollet
PATRICK DENNIS;patrick dennis
VIOLA CAROFALO;viola carofalo
PIERRE LAURY;pierre laury
ANDRONIE IRINA ELENA;andronie irina elena
PETAR ATANASOV;petar atanasov
VIRGIL RATIU;virgil ratiu
ROXANA MARIA NEMES;roxana maria nemes
OANA SIMONA;oana simona
WELDON OWEN;weldon owen
SACHEVERELL SITWELL;sacheverell sitwell
NADEJDA MANDELSTAM;nadejda mandelstam
ALINA GORGHIU;alina gorghiu
VASILE ERNU;vasile ernu
SANDA BUDIS;sanda budis
LEON BRUNSCHVICG;leon brunschvicg
ION HELIADE RADULESCU;ion heliade radulescu
ALAIN DUREL;alain durel
NINA MUNTEANU;nina munteanu
LILLIAN B. RUBIN;lillian b rubin
DAN LUCA;dan luca
IONUT CIUTACU;ionut ciutacu
ADINA CRISTEA PALADA;adina cristea palada
PHILIP GRAY;philip gray
BRUNO SCHULZ;bruno schulz
HARSANYI ZSUZSANNA;harsanyi zsuzsanna
JOHANN WOLFGANG VON GOETHE;johann wolfgang von goethe
NICHOLAS SPARKS;nicholas sparks
PAUL TUMANIAN;paul tumanian
HANNAH FRY;hannah fry
MIHAI BALEANU;mihai baleanu
