Author;Author_Std
EMMA TORZS;emma torzs
GEORGE BALAITA;george balaita
URMUZ;urmuz
LIVIU POP;liviu pop
GHEORGHE MENCINICOPSCHI;gheorghe mencinicopschi
ALEX GEORGE;alex george
TONI CARDONA;toni cardona
GEORGETA BURLACU;georgeta burlacu
STEPHANIE BENSON;stephanie benson
IULIAN VACAREL;iulian vacarel
ADRIAN PETRU STEPAN;adrian petru stepan
ALEXANDER HAUSVATER;alexander hausvater
MIMI THEBO;mimi thebo
;
SIMONE GYORFI;simone gyorfi
MARCEL MANEA;marcel manea
STEVE BERRY;steve berry
JULIAN SANCTON;julian sancton
ALAI;alai
LILI CRACIUN;lili craciun
MARIN PREDA;marin preda
GIOVANNI DUTTO IMC;giovanni dutto imc
ANNA LENA AMTHOR;anna lena amthor
SILVAN D. IONESCU;silvan d ionescu
GRIGORE CONSTANTINESCU;grigore constantinescu
DEAN BURNETT;dean burnett
THOMAS HARRIS;thomas harris
REBECCA YARROS;rebecca yarros
MICHELINE TENACE;micheline tenace
AUROREI GEORGESCU;aurorei georgescu
NICK MAGGIULLI;nick maggiulli
DORU CIOCANU;doru ciocanu
PETRUT CIOBANU;petrut ciobanu
ADRIAN IENIN;adrian ienin
PLOPEANU SORINA;plopeanu sorina
ION TOANTA;ion toanta
GASPAR GYORGY;gaspar gyorgy
ISSABELA COTELIN;issabela cotelin
ANGELICA LAMBRU;angelica lambru
SUSAN M. ORSILLO;susan m orsillo
LILY KING;lily king
CRINA MICTARIU;crina mictariu
FRANZ RUPPERT;franz ruppert
CHRISTIAN CRACIUN;christian craciun
JULIAN CLARY;julian clary
JOSEPH FINDER;joseph finder
ERIN WATT;erin watt
AYAAN HIRSI ALI;ayaan hirsi ali
GELU VLASIN;gelu vlasin
ALEKSANDR BELEAEV;aleksandr beleaev
AURA CHRISTI;aura christi
CLAUDIU DUMEA;claudiu dumea
FELINE LANG;feline lang
RORY VADEN;rory vaden
JO PETERS;jo peters
MIHAI MANIUTIU;mihai maniutiu
RASVAN POPESCU;rasvan popescu
MARK GOULSTON;mark goulston
EUGENE EBODE;eugene ebode
IOAN SUCIU;ioan suciu
IULIAN CHIVU;iulian chivu
EVE HERRMANN;eve herrmann
ASHLEY WINSTEAD;ashley winstead
SHANE SNOW;shane snow
MATTHEW MOCKRIDGE;matthew mockridge
SORIN SERB;sorin serb
CATALIN TURLIUC;catalin turliuc
TIBERIU ALEXANDRU;tiberiu alexandru
XUE MO;xue mo
JENNY MCCARTENEY;jenny mccarteney
NICOLAE ESINENCU;nicolae esinencu
MARILYN SINGER;marilyn singer
EPICTET;epictet
MIRCEA LAZARESCU;mircea lazarescu
JOSE RAMON ALONSO PENA;jose ramon alonso pena
CATHERINE BLYTH;catherine blyth
