Publisher;Publisher_Std
Concord Media Rt.;concord media rt
Focus Könyvkiadó;focus konyvkiado
ÉGHAJLAT KÖNYVKIADÓ KFT.;eghajlat konyvkiado kft
Hunor Kiadó;hunor kiado
Komp-Press Kiadó;komppress kiado
EGY CSEPP ALAPÍTVÁNY;egy csepp alapitvany
Ridikül Magazin Kft.;ridikul magazin kft
Kövi Szabolcs E. V.;kovi szabolcs e v
Mind Kiadó;mind kiado
Csokonai Kiadó;csokonai kiado
Hadtörténeti Múzeum;hadtorteneti muzeum
Jerome Coctoo Könyvek;jerome coctoo konyvek
Image Kft.;image kft
GastroHobbi;gastrohobbi
Napfényes Élet Alapítvány;napfenyes elet alapitvany
Libub Group Kft.;libub group kft
STEPHANEUM NYOMDA ÉS KÖNYVKIADÓ;stephaneum nyomda es konyvkiado
Kijárat Kiadó;kijarat kiado
Webtréner Kft.;webtrener kft
Springer;springer
Cz. Simon Bt.;cz simon bt
Argumentum Kiadó és Nyomda Kft;argumentum kiado es nyomda kft
Európai Folklór Intézet;europai folklor intezet
Babainfo Média Kft.;babainfo media kft
Hazajáró Honismereti és Turista Egy;hazajaro honismereti es turista egy
Útilapu Kiadó Kft.;utilapu kiado kft
Professzorok Kiadója;professzorok kiadoja
Best Hollywood;best hollywood
Hócipő;hocipo
Egy Csepp Zen Közösség;egy csepp zen kozosseg
Klikkmarketing Zrt.;klikkmarketing zrt
Booksi - Alinea Kiadó;booksi  alinea kiado
Szent Márton Gyermekmentő Szolgálat;szent marton gyermekmento szolgalat
AcadeMe publishing;academe publishing
BOOK GALAXY KIADÓ;book galaxy kiado
NORAN KÖNYVESHÁZ;noran konyveshaz
J.I.T. LEXIKON KIADÓ ÉS;jit lexikon kiado es
Hanimmo Kft.;hanimmo kft
BOM a Magyar Sportért;bom a magyar sportert
Bajuszka Kiadó Kft.;bajuszka kiado kft
Petrovics Emil magánkiadó;petrovics emil magankiado
Geobook Hungary Kiadó;geobook hungary kiado
Norna Kiadó;norna kiado
CDC Stúdió Kft;cdc studio kft
Impressive Line Bt.;impressive line bt
Pallas Könyvek;pallas konyvek
Salomon Gross Bemutatja Kft. (S.G.B;salomon gross bemutatja kft sgb
PrintXBudavár Kft.;printxbudavar kft
Lalita Kft.;lalita kft
Ars Regina Könyvek;ars regina konyvek
Arktos;arktos
PRAE.HU;praehu
SZS Kulturális Kft.;szs kulturalis kft
Studium Bt.;studium bt
Bicskei és Fiai Kft.;bicskei es fiai kft
BUDAKÖNYVEK KFT. - ANUKET KIADÓ BT.;budakonyvek kft  anuket kiado bt
EGY A TERMÉSZETTEL NONPROFIT KFT;egy a termeszettel nonprofit kft
EXIT KIADÓ;exit kiado
Örökség Kultúrpol.Int.Nonprof.Kft.;orokseg kulturpolintnonprofkft
Smaragd Kiadó;smaragd kiado
AXEL SPRINGER-BUDAPEST KIADÓI KFT;axel springerbudapest kiadoi kft
KRQ KFT.;krq kft
Feudum Kft.;feudum kft
Prím-Film;primfilm
Théâtre le Levain és Mérce;theatre le levain es merce
Immánuel Magyar-Izraeli Baráti T.;immanuel magyarizraeli barati t
Tudáspolc Kiadó;tudaspolc kiado
Cheiron Studio Kft.;cheiron studio kft
Reáltanoda Alapítvány;realtanoda alapitvany
FilmHungary - MMA MMKI;filmhungary  mma mmki
GloboBook;globobook
Lapcom Lapkiadó és Nyomdaipari Kft.;lapcom lapkiado es nyomdaipari kft
Hevesi Sándor Színház;hevesi sandor szinhaz
Wunderlich Production Kft.;wunderlich production kft
Magyar Nemzeti Filmalap Közhasznú;magyar nemzeti filmalap kozhasznu
Akovita;akovita
Humbák Művek;humbak muvek
IFOA HORVÁTH & PARTNERS VEZETÉSI ÉS;ifoa horvath  partners vezetesi es
Showtime Event Kft;showtime event kft
MAGYAR TAOISTA EGYHÁZ TELJES;magyar taoista egyhaz teljes
Danica Könyvkiadó;danica konyvkiado
Győri Egyházmegyei Levéltár;gyori egyhazmegyei leveltar
Little Fox Kiadó;little fox kiado
ELLYPSZILON Kft.;ellypszilon kft
Nagy és tsa;nagy es tsa
Comics Mania;comics mania
Zachor Alapítvány a Társadalmi Emlé;zachor alapitvany a tarsadalmi emle
Kieselbach Galéria;kieselbach galeria
Új Remény Alapítvány;uj remeny alapitvany
Független Média Kiadó;fuggetlen media kiado
Pitypang Kiadó;pitypang kiado
Kovács K. Zoltán Alapítvány;kovacs k zoltan alapitvany
Solar Libro Kft.;solar libro kft
Sárkány Sport Egyesület;sarkany sport egyesulet
Átmenet;atmenet
Korall;korall
Népszabadság Könyvek;nepszabadsag konyvek
Írisz KFT.;irisz kft
Magnum Opus;magnum opus
Szegedi Középkorász Műhely;szegedi kozepkorasz muhely
FENNTARTHATÓ FEJLŐDÉS KÖZHASZNÚ NON;fenntarthato fejlodes kozhasznu non
Magyar Csillagászati Egyesület;magyar csillagaszati egyesulet
Magyar Hadi és Gépjármûtechnikai;magyar hadi es gepjarmutechnikai
SZABÓ GYÖRGY MAGÁNKIADÁS;szabo gyorgy magankiadas
ARION IDEGENFORGALMI ÉS SZOLGÁ;arion idegenforgalmi es szolga
Rhino Training;rhino training
T-rex '94 Kft.;trex 94 kft
AQUILA KIADÓ - RUBICON KIADÓ;aquila kiado  rubicon kiado
Erőszakkutató Intézet;eroszakkutato intezet
Zöld Erdő Kiadó;zold erdo kiado
Mindenség Kiadó;mindenseg kiado
LIVING EARTH- ÉLŐ FÖLD KIADÓ;living earth elo fold kiado
Kiss B. Invest Vagyonkezelő Kft.;kiss b invest vagyonkezelo kft
DOMOKOS KFT.;domokos kft
New Kids Kiadó;new kids kiado
Roder-Ocker Kiadó;roderocker kiado
V4 SOLUTIONS KFT;v4 solutions kft
Képregénykuckó;kepregenykucko
HK Hermanos Kiadó;hk hermanos kiado
TYPOTEX ELEKTRONIKUS KIADÓ;typotex elektronikus kiado
Pro Pannónia Kiadói Alapítvány;pro pannonia kiadoi alapitvany
Litkey És Társa Kiadó;litkey es tarsa kiado
Art & Business Kft.;art  business kft
Universal Music;universal music
ELTE;elte
MM Publications;mm publications
Dick Manó;dick mano
MTA Bölcsészettudományi Kutatóközpo;mta bolcseszettudomanyi kutatokozpo
Netamin Kft.;netamin kft
Bibliaiskolák Közössége;bibliaiskolak kozossege
Damaru Könyvkiadó;damaru konyvkiado
Mátyás Szabolcs és Társa;matyas szabolcs es tarsa
ETK RT.;etk rt
Magánkiadás - Katona András;magankiadas  katona andras
GLB Könykiadó Kft;glb konykiado kft
Könyv&Kávé;konyvkave
HOMONNAI ÉS TÁRSA KÖNYVKIADÓ K;homonnai es tarsa konyvkiado k
Magyarok Világszövetsége;magyarok vilagszovetsege
SysKomm Hungary Kft;syskomm hungary kft
Nádszál Könyvek;nadszal konyvek
Kriterion Kiadó;kriterion kiado
JEL-Sarutlan Kármelita Nõvérek;jelsarutlan karmelita noverek
APG Kreatív Kft.;apg kreativ kft
Competitor 21 Kiadó Kft.;competitor 21 kiado kft
G+B '96 NYOMDAIPARI BT.;gb 96 nyomdaipari bt
Alfadat-Press;alfadatpress
HumanRobot Kollektíva;humanrobot kollektiva
Student-Litkey Bt.;studentlitkey bt
Felébredt Tudat Kiadó;felebredt tudat kiado
Magyar Mercurius;magyar mercurius
ETK KIADÓ;etk kiado
URSUS KFT.;ursus kft
JEL-Odigitria Kiadó;jelodigitria kiado
Magyar Nemzeti Múzeum;magyar nemzeti muzeum
Reálszisztéma;realszisztema
PRESSKONTAKT BT.;presskontakt bt
Szoba Kiadó;szoba kiado
Alkim Kiadó;alkim kiado
K2 kreativitás & kommunikáció Bt.;k2 kreativitas  kommunikacio bt
Könyves Egér Kft.;konyves eger kft
Tas-11 Kiadó;tas11 kiado
Magyar Világ Kiadó;magyar vilag kiado
Pont jó nekem Kft.;pont jo nekem kft
Corvus Design Kft.;corvus design kft
Arktisz Kiadó;arktisz kiado
Pécs Lexikon Kulturális Nonprofit Kft.;pecs lexikon kulturalis nonprofit kft
Trianon Múzeum - Szindbád;trianon muzeum  szindbad
Sorozat Könyvek Kiadó;sorozat konyvek kiado
Európai Könyvtársaság;europai konyvtarsasag
Red Dream Kft.;red dream kft
Urseri Kiadó;urseri kiado
DUNAKÖNYV KIADÓ KFT;dunakonyv kiado kft
Most Élsz Egyesület;most elsz egyesulet
Stílus és Technika;stilus es technika
Mandala Színező;mandala szinezo
Pink Beauty Bakery Bt.;pink beauty bakery bt
Gyori ETO FC Kft.;gyori eto fc kft
Coldwell;coldwell
Reader's Digest Kiadó Kft.;readers digest kiado kft
B.H.N. Kft.;bhn kft
Bocz Nyomdaipari Kft.;bocz nyomdaipari kft
Szent Atanáz Görög Kat. Hittudom. E;szent atanaz gorog kat hittudom e
Horse Books;horse books
Álmodozók Kiadó;almodozok kiado
Have it All Kft.;have it all kft
New Entertainment & Distribution &;new entertainment  distribution
Arany Korona Alapítvány;arany korona alapitvany
Enjoy;enjoy
BKL Kiadó;bkl kiado
K9-Sport Kft.;k9sport kft
Workstreet Consulting Kft.;workstreet consulting kft
Csodaország Kiadó;csodaorszag kiado
Lucidus Kiadó;lucidus kiado
Aegis Kultúráért és Művészetért Ala;aegis kulturaert es muveszetert ala
Pannónia Nyomda kft;pannonia nyomda kft
MARIE CLARENCE;marie clarence
Curriculum Kiadó;curriculum kiado
Új Város Kiadó;uj varos kiado
György László;gyorgy laszlo
The Guidency Books;the guidency books
Pszichoedukáció Kft.;pszichoedukacio kft
SZAKÁCS GÁBOR MAGÁNKIADÁSA;szakacs gabor magankiadasa
Pannonhalmi Főapátság;pannonhalmi foapatsag
Bestline;bestline
Madal Bal Kft.;madal bal kft
SailingBooks.hu;sailingbookshu
Art & Globe Kft.;art  globe kft
ProCasting Kft.;procasting kft
Hajós-Wisinger Kft.;hajoswisinger kft
FAROS NYOMDA KFT.;faros nyomda kft
Valera Kiadó;valera kiado
Monarchia;monarchia
EKÖNYVES.HU KIADÓ;ekonyveshu kiado
József Attila Kör;jozsef attila kor
Antall József Tudásközpont Al.;antall jozsef tudaskozpont al
ANYUKÁK ÉS NEVELŐK;anyukak es nevelok
Robox Kft.;robox kft
Ars Topia Alapítvány;ars topia alapitvany
Táblácska Kft;tablacska kft
Gajatri-jóga és terápia Könyvkiadó;gajatrijoga es terapia konyvkiado
Fish Könyvkiadó;fish konyvkiado
Ménhír Bt.;menhir bt
ÉTK Kft.;etk kft
Pluralica Alapítvány;pluralica alapitvany
Tulipán Kiadó;tulipan kiado
Ideatime;ideatime
Ikar Kiadó;ikar kiado
Royalwell Ig.bef.-Hasznosító és Vagyoni Tan. Kft.;royalwell igbefhasznosito es vagyoni tan kft
Várhegy Kiadó;varhegy kiado
Corvin Kiadó;corvin kiado
Korunk;korunk
AW Market Hungary Kft;aw market hungary kft
Pájer Donát e. v.;pajer donat e v
Graal Könyvek;graal konyvek
HUNOR VÁLLALKOZÁS ZSOLT PÉTER;hunor vallalkozas zsolt peter
Collective Art Kft.;collective art kft
Domarketing Kft.;domarketing kft
Fakultás Kiadó;fakultas kiado
Bestseller Expert Kft.;bestseller expert kft
Múzsa Könyvkereskedés Körmend;muzsa konyvkereskedes kormend
Kertesz Communications;kertesz communications
Enciklopédia Kiadó;enciklopedia kiado
Élet És Irodalom;elet es irodalom
Lybrum Kiadó;lybrum kiado
MTA Történettudományi Intézet;mta tortenettudomanyi intezet
TEREBINT BT.;terebint bt
SZILVIA ÉS TSA. BT. KIADÓ;szilvia es tsa bt kiado
Animi Beauty System Kft.;animi beauty system kft
Colorcom Media Kft.;colorcom media kft
Tekapo;tekapo
Leviter Kft. és Nemzetközi NPL;leviter kft es nemzetkozi npl
AMZA Kft.;amza kft
Batthyány Lajos Alapítvány;batthyany lajos alapitvany
GNG Group Kft.;gng group kft
Boldog Gizella Főegyhm.-i Gyűjt.;boldog gizella foegyhmi gyujt
Complex Kiadó;complex kiado
Grál-Világa Magyarországi Alapítvány;gralvilaga magyarorszagi alapitvany
Underground Kiadó;underground kiado
Dzsaj Bhím Triratna;dzsaj bhim triratna
Nyitott könyv;nyitott konyv
CsöndesTárs Kiadó;csondestars kiado
ZETNA;zetna
Charta Kiadó;charta kiado
VoxMedica Kiadói Kft.;voxmedica kiadoi kft
SC Editura Kriterion SRL;sc editura kriterion srl
FairBooks Kiadó;fairbooks kiado
Gödöllői Királyi Kastély Kh. Nonpr.;godolloi kiralyi kastely kh nonpr
Prométeusz Kiadó;prometeusz kiado
Skorpió Print Kft.;skorpio print kft
TreeFa World Productions Kft.;treefa world productions kft
Book-X-Press Bt.;bookxpress bt
Books In Print;books in print
Egmont Pestalozzi Kiadó;egmont pestalozzi kiado
Vajdasági Magyar Művelődési Intézet;vajdasagi magyar muvelodesi intezet
Median;median
EgyKettő Kiadó;egyketto kiado
Hungarofest Nemzeti Rendezvénysz. N;hungarofest nemzeti rendezvenysz n
Made in World Center Kft.;made in world center kft
Max Hueber Verlag;max hueber verlag
A GULÁG-okban Elpusztultak E.;a gulagokban elpusztultak e
Optima Téka Kiadó;optima teka kiado
Demokrácia Kutatások;demokracia kutatasok
Pallas Akadémia;pallas akademia
B. RECORDS KFT;b records kft
HOGYF EDITIO /HORVÁTH GYÖZÖ/;hogyf editio horvath gyozo
MEDIAM COMPLETE ARTWORKS;mediam complete artworks
Vitafree Kft.;vitafree kft
FRANKLIN-TÁRSULAT KIADÓ;franklintarsulat kiado
Zokob Anett;zokob anett
Press-Pannonica-Média;presspannonicamedia
Testszerviz Extra Kft.;testszerviz extra kft
Múlt és Jövő/Clio Intézet;mult es jovoclio intezet
Trinety Media Kft.;trinety media kft
Lexica Kft.;lexica kft
Grafon Kiadó;grafon kiado
Peter Magic Books;peter magic books
Liget Műhely Alapítvány;liget muhely alapitvany
Sebestyén & Társa;sebestyen  tarsa
Wit Print Kft.;wit print kft
Kecskeméti Lapok Kft.;kecskemeti lapok kft
SZIKLAKÓRHÁZ KULT. NONPROFIT KFT.;sziklakorhaz kult nonprofit kft
SEYMOUR PUBLISHING;seymour publishing
Trajan Könyvesműhely;trajan konyvesmuhely
Képzőművészeti Kiadó;kepzomuveszeti kiado
Allprint Kiadó;allprint kiado
Citoyen;citoyen
Lelki Köldökzsinór Egyesület;lelki koldokzsinor egyesulet
Stúdium Kiadó;studium kiado
2014 DAKAR KFT.;2014 dakar kft
Kriza János Néprajzi Társaság;kriza janos neprajzi tarsasag
EGRI NYITOTT KAPU ALAPÍTVÁNY;egri nyitott kapu alapitvany
QLT;qlt
MEDIA NOVA M;media nova m
Etalon Könyves Kft.;etalon konyves kft
Mindenség;mindenseg
Filmtekercs Vizuális Kultúráért Egy;filmtekercs vizualis kulturaert egy
SZPMA;szpma
B+V Medical;bv medical
Harmonet;harmonet
BV Service Kft.;bv service kft
Riport Kiadó;riport kiado
Csicsergő Kiadó;csicsergo kiado
MTA Nyelvtudományi Intézete;mta nyelvtudomanyi intezete
Oddijána Kiadó;oddijana kiado
MTA BTK és NEB;mta btk es neb
Tarsoly Kiadó;tarsoly kiado
Boldogságban Felcseperedni Alapítvá;boldogsagban felcseperedni alapitva
LITERATURA MEDICA KIADÓ KFT.;literatura medica kiado kft
Iskola Alapítvány (Fundatia p.Sc);iskola alapitvany fundatia psc
MTA Kisebbségkutató Intézet;mta kisebbsegkutato intezet
Line Design Kft.;line design kft
HOT-RED Bt.;hotred bt
Sifi Reklám Kft.;sifi reklam kft
Enzír Kiadó;enzir kiado
Magyar Tudományos Akadémia;magyar tudomanyos akademia
PERCHE Kft.;perche kft
Növényi Norbert;novenyi norbert
BLACK LIBRARY;black library
Kalandor Könyvkiadó;kalandor konyvkiado
ELFood kft;elfood kft
Borostyán Kapu Bt.;borostyan kapu bt
MTA Társadalomkutató Központ;mta tarsadalomkutato kozpont
Pannónia Könyvek;pannonia konyvek
Radnai Kiadó;radnai kiado
GASTRODATE;gastrodate
MARSHALL;marshall
Ambienta Kft.;ambienta kft
Magyar Teozófiai Társulat;magyar teozofiai tarsulat
KT Kiadó;kt kiado
PROVINCE ART;province art
Valo-Art Bt.;valoart bt
Magyar Nemzeti Bank;magyar nemzeti bank
Magyar Pünkösdi Egyház;magyar punkosdi egyhaz
Wellnet Kft.;wellnet kft
BUDAPEST FŐVÁROS LEVÉLTÁRA SZAKKÖNY;budapest fovaros leveltara szakkony
Dr. Róbert Bordás;dr robert bordas
ELTE BTK Művelődéstörténeti Tanszék;elte btk muvelodestorteneti tanszek
El Kazovszkij Alapítvány;el kazovszkij alapitvany
For Art Kiadó;for art kiado
Inforg 2002;inforg 2002
HL Stúdió;hl studio
Vitis Aureus Kiadó;vitis aureus kiado
Castellum Novum;castellum novum
HORTOBÁGYI TERMÉSZETVÉDELMI EGY.;hortobagyi termeszetvedelmi egy
Logos Kiadó;logos kiado
Imádokenni Kft.;imadokenni kft
BrandTrend Kft.;brandtrend kft
Esély Mozaik Kiadó;esely mozaik kiado
Szig-Tim Kiadó;szigtim kiado
FIRE FACE KFT.;fire face kft
RJM Hungary Kft.;rjm hungary kft
Open Art Nyomda és Kiadó Kft.;open art nyomda es kiado kft
Bookaholic Kiadó;bookaholic kiado
DÉKÁNY Művészeti Bt.;dekany muveszeti bt
Duals Társkereső Kft.;duals tarskereso kft
Publish and More Kft.;publish and more kft
KETEG OIKONOMIA KUTATÓ INTÉZET;keteg oikonomia kutato intezet
Bodobács Kiadó;bodobacs kiado
Regulus Art Kft.;regulus art kft
Hibernia Nova Kiadó Kft.;hibernia nova kiado kft
AmbrooBook Kiadó;ambroobook kiado
Quattrocento Kiadó;quattrocento kiado
Tabula S. Kiadó;tabula s kiado
Trottel Books;trottel books
Hungarofest Kht.;hungarofest kht
Médiam Kiadó;mediam kiado
KERKYRA PUBLICATIONS;kerkyra publications
Széphalom Könyvműhely;szephalom konyvmuhely
Országgyûlés Hivatala;orszaggyules hivatala
SH Kiadó;sh kiado
Sprint;sprint
BIK KÖNYVKIADÓ;bik konyvkiado
Crossroad Consulting Kft.;crossroad consulting kft
Simon József magánkiadás;simon jozsef magankiadas
Ez az a nap! Alapítvány;ez az a nap alapitvany
Pik-TÚRA Könyvkiadó Bt.;piktura konyvkiado bt
FilmHungary;filmhungary
365 Team Book;365 team book
Silvergrosz International;silvergrosz international
Dóm Kiadó;dom kiado
Szépirodalmi Figyelő;szepirodalmi figyelo
Podmaniczky Művészeti Alapítvány;podmaniczky muveszeti alapitvany
Picaro Kiadó;picaro kiado
Print-Tech Kiadó;printtech kiado
Pallas-Akadémia;pallasakademia
T-Pentagramm Kft.;tpentagramm kft
Mo. a középkori Európában kutatócs;mo a kozepkori europaban kutatocs
Articity Kiadó és Média Kft.;articity kiado es media kft
Gigapolisz Kiadó;gigapolisz kiado
MTA-SZTE Vallási Kultúrakutató Csop;mtaszte vallasi kulturakutato csop
Szent II. János Pál Intézet;szent ii janos pal intezet
Dr. Mészáros Andrea ev.;dr meszaros andrea ev
Könyvmíves Könyvkiadó;konyvmives konyvkiado
Regina-betűk Könyvkiadó és Szolgáltató Kft.;reginabetuk konyvkiado es szolgaltato kft
BIODERM 2000 KFT.;bioderm 2000 kft
Szülőföld Könyvkiadó;szulofold konyvkiado
Touring Club Italiano;touring club italiano
Minta bolt;minta bolt
MAGISZTER TÁRSADALOMTUDOMÁNYI ALAP;magiszter tarsadalomtudomanyi alap
Trianon Múzeum;trianon muzeum
ARION KIADÓ;arion kiado
Kapu Könyvek;kapu konyvek
JELENLÉT 2000;jelenlet 2000
Dajama;dajama
SPRINT KFT.;sprint kft
PROTEA KÖZHASZNÚ KULTURÁLIS EGYESÜL;protea kozhasznu kulturalis egyesul
Hétdomb Kiadó;hetdomb kiado
Hamu és Gyémánt Kiadó;hamu es gyemant kiado
XANTUSZ KÖNYV KERESKEDELMI KFT;xantusz konyv kereskedelmi kft
HÍMER BERTALAN (ROCKINFORM);himer bertalan rockinform
Plectrum;plectrum
Révai Digitális Kiadó Kft.;revai digitalis kiado kft
KAI Consulting Kft.;kai consulting kft
Madách-Posonium;madachposonium
Nyitott Tudat Buddhista Közösség;nyitott tudat buddhista kozosseg
Polár könyvek;polar konyvek
SMALL WORLD KIADÓ;small world kiado
Planétás Kiadó;planetas kiado
Múzeum Antikvárium-Bookmaker K;muzeum antikvariumbookmaker k
Stiefel Eurocart Kft.;stiefel eurocart kft
Katica Könyv Műhely;katica konyv muhely
PTE-FEEK;ptefeek
Frontvonal Alapítvány;frontvonal alapitvany
InfoKit;infokit
Diafilm Kft.;diafilm kft
Felsőbbfokú Tanulmányok Intézete;felsobbfoku tanulmanyok intezete
Dark Pages;dark pages
SzépKönyvek Kiadó;szepkonyvek kiado
Pintz és Társai Szabadalmi;pintz es tarsai szabadalmi
SzóKiMondóka Fejlesztőjáték Kft.;szokimondoka fejlesztojatek kft
Képregényáruház Bt.;kepregenyaruhaz bt
Janus-Gondolat;janusgondolat
Palatia Kiadó;palatia kiado
Dupress;dupress
EFO Kiadó;efo kiado
LMP Publishing Kft.;lmp publishing kft
Faqore Kft.;faqore kft
Dioné Kft.;dione kft
Egyetemi Műhely Kiadó;egyetemi muhely kiado
Huszár Kiadó;huszar kiado
MILAGROSSA KFT;milagrossa kft
Magyar Alkotóművészek Orsz. E.;magyar alkotomuveszek orsz e
Poligráf Kiadó;poligraf kiado
SZENKOVITS PÉTER VÁLLALKOZÓ;szenkovits peter vallalkozo
Székelykönyv Kiadó;szekelykonyv kiado
EGÉSZSÉGFORRÁS ALAPÍTVÁNY;egeszsegforras alapitvany
BRÓDY SÁNDOR MEGYEI ÉS VÁROSI KÖNYV;brody sandor megyei es varosi konyv
RECORD HUNGARY KER.ÉS SZOLG.KFT;record hungary keres szolgkft
Krak Kiadó;krak kiado
Egyházfórum Alapítvány;egyhazforum alapitvany
PÁZMÁNY PÉTER KATOLIKUS EGYETE;pazmany peter katolikus egyete
Netacademia;netacademia
Global Dream Kft.;global dream kft
Orpheusz Kiadó;orpheusz kiado
MAGYAR NAPLÓ KIADÓ KFT;magyar naplo kiado kft
SILENOS KFT.;silenos kft
Springer Tudományos Kiadó;springer tudomanyos kiado
SIRÁLY! KIADÓ;siraly kiado
White Golden Book;white golden book
ONGAI KULTURÁLIS EGYESÜLET;ongai kulturalis egyesulet
SURSUM KIADÓ;sursum kiado
Magyar LMBT Szövetség;magyar lmbt szovetseg
AnnAtA Kiadó;annata kiado
Media Team Bt.;media team bt
ABC Könyvek Kft.;abc konyvek kft
Média & Marketing Kft.;media  marketing kft
MFM könyvek;mfm konyvek
Greylet Magyarország Kft.;greylet magyarorszag kft
Európalánta Közhasznú Egyesület;europalanta kozhasznu egyesulet
AVES Alapítvány;aves alapitvany
2B Alapítvány;2b alapitvany
Magyar Szemiotikai Társaság;magyar szemiotikai tarsasag
Sík Sándor Kiadó;sik sandor kiado
Ister Kiadó;ister kiado
Ex Libris;ex libris
1956-os Intézet;1956os intezet
MOBIL KIADÓ;mobil kiado
Török László magánkiadás;torok laszlo magankiadas
Amana7 Kiadó;amana7 kiado
MédiaBOOM Kft.;mediaboom kft
Accordia Kiadó;accordia kiado
BUDAPESTI TÖRTÉNETI MÚZEUM;budapesti torteneti muzeum
Logotéka Bt.;logoteka bt
Vadló Bt.;vadlo bt
Eastone Kiadó;eastone kiado
Bódi Guszti Produkciós Iroda;bodi guszti produkcios iroda
Információs Társadalomért Alapítván;informacios tarsadalomert alapitvan
Vitál-kontroll Kft.;vitalkontroll kft
Kertész Nyomda és Kiadó;kertesz nyomda es kiado
STUDIÓ 33 KFT.;studio 33 kft
hat Márka Művek;hat marka muvek
Digitalbooks;digitalbooks
NOVOSCHOOL KFT;novoschool kft
Institutio;institutio
Málnalevél Gyógyszertár;malnalevel gyogyszertar
M.K.T.H.K.;mkthk
Manta Digitál Marketing Kft.;manta digital marketing kft
TAKTIK Vydavateľstvo;taktik vydavatelstvo
SzofiPress;szofipress
Szegletkő Kiadói Alapítvány;szegletko kiadoi alapitvany
Hargita Kiadóhivatal;hargita kiadohivatal
LUNA;luna
MERÉNYI KIADÓ;merenyi kiado
Városi Könyvtár;varosi konyvtar
BUDAKÖNYVEK KFT;budakonyvek kft
108 Kiadó;108 kiado
Harmopress Kft.;harmopress kft
REAL BOOK KFT.;real book kft
SZENTKIRÁLYI ÁSVÁNYVÍZ KFT;szentkiralyi asvanyviz kft
Magyar Szemle Alapítvány;magyar szemle alapitvany
Mundus Magyar Egyetemi Kiadó;mundus magyar egyetemi kiado
Birs Press Kft.;birs press kft
APC Stúdió;apc studio
Harmónia Alapítvány;harmonia alapitvany
Szikra;szikra
Szellemi Tulajdon Nemzeti Hivatala;szellemi tulajdon nemzeti hivatala
Szeretet Földje;szeretet foldje
Klausz Social Group Kft.;klausz social group kft
Barankovics István Alapítvány;barankovics istvan alapitvany
Mormota Könyvkiadó;mormota konyvkiado
UnivRCity Press;univrcity press
Maróti Könyvkereskedés és Könyvkiadó Kft.;maroti konyvkereskedes es konyvkiado kft
Kávé Kiadó;kave kiado
Krimiklub.hu;krimiklubhu
SAWASAWA-K.U.K.;sawasawakuk
EÖKK. - EURÓPAI ÖSSZEHASONLÍTÓ KISE;eokk  europai osszehasonlito kise
Artificial Group;artificial group
C+S Kiadó;cs kiado
Bárczi G. Gyógyped. Tanárképzo Fois;barczi g gyogyped tanarkepzo fois
Korma Könyvek;korma konyvek
Életjel Kiadó;eletjel kiado
Martin Op.-Herman Ottó-Szegedi TRT;martin opherman ottoszegedi trt
DÉNES NATUR MŰHELY KFT;denes natur muhely kft
Kard és penna;kard es penna
BONSAI INTERNATIONAL KFT;bonsai international kft
CEOSZ;ceosz
Juniperus Publishing;juniperus publishing
Avidor András;avidor andras
APRIORI INTERNATIONAL KFT;apriori international kft
Magyar Unitárius egyház;magyar unitarius egyhaz
Lál Kiadó;lal kiado
NOVUM KÖNYVKLUB KFT;novum konyvklub kft
Relaxa Kft.;relaxa kft
Szabad Tér Kiadó;szabad ter kiado
Hammer Records;hammer records
HOITSY GYÖRGY;hoitsy gyorgy
Luna Blanca Könyvműhely Kft.;luna blanca konyvmuhely kft
Baby-Med Professional Company Kft.;babymed professional company kft
Hilcon Publishing Kiadó;hilcon publishing kiado
Nagyvilág Kiadó;nagyvilag kiado
SZABAD TÉR;szabad ter
PUEDLO KIADÓ 2000;puedlo kiado 2000
Seneca Kiadó;seneca kiado
MAGYARKERÁMIA KFT.;magyarkeramia kft
Infoprint Kiadó;infoprint kiado
Horváthné Szabó Mária Magdolna Kiad;horvathne szabo maria magdolna kiad
Yuki Stúdió;yuki studio
Akaprint Kiadó;akaprint kiado
ZRINYI KHT.;zrinyi kht
Canissa Kiadó;canissa kiado
Anima Társaság;anima tarsasag
Jelen Vagyok Tehetséggondozó Egyesü;jelen vagyok tehetseggondozo egyesu
kultúrAktív Egyesület;kulturaktiv egyesulet
Naturwell Kiadó;naturwell kiado
Infinite Media Kft.;infinite media kft
Pinkpoint Studio Kft.;pinkpoint studio kft
3D-studio;3dstudio
Assimil;assimil
Euro Press Média;euro press media
Erdélyi Magyar Filmszövetség;erdelyi magyar filmszovetseg
Magyar Polgári Egyesület Nagyvárad;magyar polgari egyesulet nagyvarad
EFO KIADÓ ÉS NYOMDA;efo kiado es nyomda
Mondat Kft.;mondat kft
EMH Kft.;emh kft
RÁCIÓ KIADÓ KFT;racio kiado kft
ART Danubius;art danubius
Magyarországi Luther Szövetség;magyarorszagi luther szovetseg
CZIFRA ÉVA;czifra eva
MADÁCH - POSONIUM KFT.;madach  posonium kft
MÉSZI FOTÓ KÖNYVKIADÓ;meszi foto konyvkiado
PRO NOVUM;pro novum
Designtrend Kiadói és Szolgáltató Kft.;designtrend kiadoi es szolgaltato kft
Golf Services Kft.;golf services kft
Fix Könyvkiadó;fix konyvkiado
Gladiátor Kiadó;gladiator kiado
