Publisher;Publisher_Std
PlayON;playon
Pannora Kft.;pannora kft
Central Dabasi Nyomda Zrt.;central dabasi nyomda zrt
Reménygyógyulás Kft;remenygyogyulas kft
Brother&Brother Company Kft.;brotherbrother company kft
Librotrade Kft.;librotrade kft
I.P.C. MIRROR KÖNYVKIADÓ;ipc mirror konyvkiado
Tamasi Kft.;tamasi kft
Bunyós Book Kiadó;bunyos book kiado
Mezőgazda Kiadó;mezogazda kiado
Egmont;egmont
M-érték Kiadó Kft.;mertek kiado kft
Delta Vision Kft.;delta vision kft
JATEPress;jatepress
Lila Füge Produkciós Kft.;lila fuge produkcios kft
Gulliver Lap-és Könyvkiadó;gulliver lapes konyvkiado
DIGITANART STUDIÓ;digitanart studio
Keresztyén Ismeretterj. Alap.;keresztyen ismeretterj alap
Fraternitas Mercurii Hermetis;fraternitas mercurii hermetis
BBS-Info Kft.;bbsinfo kft
K. KISHONTI BETTI;k kishonti betti
TROUBADOUR BOOKS KFT;troubadour books kft
Polaris Könyvkiadó;polaris konyvkiado
MotiBooks Kiadó (Guruló Egyetem Kft;motibooks kiado gurulo egyetem kft
Dinasztia Tankönyvkiadó;dinasztia tankonyvkiado
Gazdagmami Kft.;gazdagmami kft
Ring-Color Kft.;ringcolor kft
Kassák Kiadó;kassak kiado
Magyar Máltai Szeretetszolgálat;magyar maltai szeretetszolgalat
Napvilág Kiadó;napvilag kiado
TARANDUS KFT.;tarandus kft
Evergreen;evergreen
HVG Kiadói Rt.;hvg kiadoi rt
Kibédi-Makfalvi-Varga Katalin;kibedimakfalvivarga katalin
Roland Toys Kft.;roland toys kft
Ekren Kft.;ekren kft
Magyar Jeti Zrt. - Cser Kiadó;magyar jeti zrt  cser kiado
Kalligram Könyvkiadó;kalligram konyvkiado
Sappirus Kft.;sappirus kft
Gondolat-Infonia;gondolatinfonia
Csimota Könyvkiadó;csimota konyvkiado
Lilith könyvek;lilith konyvek
Zagora 2000;zagora 2000
Hanif Iszlám Kulturális Alapítvány;hanif iszlam kulturalis alapitvany
Oriold és Társai Kft.;oriold es tarsai kft
Metropolis Media;metropolis media
Success Development s.r.o.;success development sro
MÉRTÉK;mertek
Filosz-Humán Bt.;filoszhuman bt
Örömhír;oromhir
Rózsavölgyi És Társa;rozsavolgyi es tarsa
Anassa Könyvek;anassa konyvek
HAJJA BOOK KFT.;hajja book kft
Taschen;taschen
ARANYTOLL KIADÓ;aranytoll kiado
Danvantara Kiadó;danvantara kiado
Omyno Kft.;omyno kft
Nicky Cruz Outreach a Szegletkő Kia;nicky cruz outreach a szegletko kia
Pécsi Direkt Kft.;pecsi direkt kft
Kommunikációs Akadémia Könyvt.;kommunikacios akademia konyvt
Buon Libro Kft.;buon libro kft
Rubicon Intézet Nonprofit Kft.;rubicon intezet nonprofit kft
MEIXNER MŰHELY;meixner muhely
Jel-Kép Bt.;jelkep bt
Magyar Klímavédelmi Kft.;magyar klimavedelmi kft
Lilli Kiadó;lilli kiado
ViharFlotta Kft.;viharflotta kft
Pedellus Novitas Kft.;pedellus novitas kft
Peko Kiadó;peko kiado
DFT-Hungária Kft.;dfthungaria kft
Filmtett Egyesület;filmtett egyesulet
Csodaceruza Bt.;csodaceruza bt
EPL;epl
Püski Kiadó;puski kiado
Hangoskönyv Kft.;hangoskonyv kft
Fabula Stúdió;fabula studio
Polis Könyvkiadó;polis konyvkiado
Magyar Nyugat Könyvkiadó;magyar nyugat konyvkiado
ATTRAKTOR Könyvkiadó Kft.;attraktor konyvkiado kft
