Author;Author_Std
Arhimandrit Atanasie Anastasiou;arhimandrit atanasie anastasiou
Delia Steinberg Guzman;delia steinberg guzman
Edmond Rossier;edmond rossier
Speranta Radulescu;speranta radulescu
Ala Bujor;ala bujor
Moshe Halbertal;moshe halbertal
Horia Zava;horia zava
William A. Cohen;william a cohen
Teodor Robu, Constantin Milica;teodor robu constantin milica
Paul Ferrini;paul ferrini
Emil Stan;emil stan
Laura Pavel;laura pavel
Patricia Rice;patricia rice
Rodica Crisan;rodica crisan
Luanne Rice;luanne rice
Richard Marcinko, Weisman;richard marcinko weisman
Doru Seliscan;doru seliscan
William Cottringer;william cottringer
Gheorghe Bologan;gheorghe bologan
Sfantul Ioan Rusul;sfantul ioan rusul
Sfantul Nectarie din Eghina;sfantul nectarie din eghina
Monica Ana Stefanescu;monica ana stefanescu
W. W. Jacobs, Amelia B. Edwards, Bram Stoker, Edgar Allan Poe;w w jacobs amelia b edwards bram stoker edgar allan poe
Rudyard Kipling, Parker Butler, Saki, Mark Twain, Jerome K. Jerome;rudyard kipling parker butler saki mark twain jerome k jerome
Susanna Longo;susanna longo
Costel Ionescu;costel ionescu
Ioan Gliga;ioan gliga
Nicolae Steinhardt;nicolae steinhardt
Radu Cinamar;radu cinamar
Adrian Chira, Lenuta Chira;adrian chira lenuta chira
Florin Macesanu;florin macesanu
Dan Millman;dan millman
Vasile Marcu;vasile marcu
Serafim De Sarov;serafim de sarov
Franz Ruppert;franz ruppert
Sam Horn;sam horn
Harald W. Tietze;harald w tietze
Corina Dragomir;corina dragomir
Emanuela Cerchez, Marinel Serban;emanuela cerchez marinel serban
Judy Allen;judy allen
Shitley Trickett;shitley trickett
Jean-Yves Leloup;jeanyves leloup
Helen Exley;helen exley
Ganga Mircea;ganga mircea
Ann Holdway;ann holdway
Ion Creanga;ion creanga
Elizabeth Abbott;elizabeth abbott
Ion Deleanu;ion deleanu
Marin Vlaicu, Margareta Vlaicu;marin vlaicu margareta vlaicu
Florence Wessels, Pierre-Olivier Wessels;florence wessels pierreolivier wessels
Carmen Popescu;carmen popescu
Michel Brule;michel brule
Mircea Agabrian, Vlad Millea;mircea agabrian vlad millea
Anatol Petrencu;anatol petrencu
Dinu C. Giurescu;dinu c giurescu
Angelo Luciani;angelo luciani
Francesco Casaretti;francesco casaretti
Christopher Foster;christopher foster
Averchie Tausev;averchie tausev
