Author,Author_Std
Halász Zsuzsa,halasz zsuzsa
Conrad De Meester,conrad de meester
Komornik Vilmos,komornik vilmos
Kalocsa Róza,kalocsa roza
Balogh Ferenc,balogh ferenc
Király János,kiraly janos
Bráz Béla,braz bela
Ábel Jenő,abel jeno
Télfy János,telfy janos
Makay Dezső,makay dezso
Borovszky Samu,borovszky samu
Jávor Béla,javor bela
Betsy Balcombe,betsy balcombe
Tony Judt,tony judt
Kahler Frigyes,kahler frigyes
Szilágyi Rita,szilagyi rita
Kiráy J.-Laskay A.,kiray jlaskay a
Kopátsy Sándor,kopatsy sandor
Kölnei Lívia-Balázs Erzsébet,kolnei liviabalazs erzsebet
Mart Laar,mart laar
Szakál László,szakal laszlo
Jósa Judit,josa judit
Vörös Csaba,voros csaba
Tracy Mack,tracy mack
Molnár Pál,molnar pal
R. Kiss István,r kiss istvan
Móser Zoltán,moser zoltan
Józef Mackiewicz,jozef mackiewicz
Görgey Albert,gorgey albert
Éric Deschodt,eric deschodt
Pázmány Péter,pazmany peter
Knauz Nándor,knauz nandor
Lukács Béla,lukacs bela
Károlyi Árpád,karolyi arpad
Frankl Vilmos,frankl vilmos
P. Gábor Mózes,p gabor mozes
Szeremlei Sámuel,szeremlei samuel
Szemere Bertalan,szemere bertalan
Lányi Károly,lanyi karoly
Kossuth Lajos,kossuth lajos
Korbuly Imre,korbuly imre
Cherrier Miklós,cherrier miklos
Mindszenti Sámuel,mindszenti samuel
Dóczy József,doczy jozsef
Kelemen Bálint Zoltán,kelemen balint zoltan
Pulszky Ferencz,pulszky ferencz
Viczmándy Tamás,viczmandy tamas
Illésy János,illesy janos
Csizmadia János,csizmadia janos
Vaszary Kolos,vaszary kolos
Horváth MIhály,lukacs odon
Lukács Ödön,gombos f albin
Gombos F. Albin,farkas peter
Farkas Péter,kathrin scharer
Kathrin Schärer,patrick holford
Patrick Holford,andrassy gyula
Andrássy Gyula,grof andrassy gyula
Gróf Andrássy Gyula,fustel de coulanges
Fustel De Coulanges,halasz geza
Halász Géza,fabian barbara
Fábián Barbara,juhasz magda
Juhász Magda,horvath ferenc
Horváth Ferenc,dusan sarotar
Dusan Sarotar,armstrong livingston
Armstrong Livingston,dr kiss eva
Dr. Kiss Éva,baranyi bela
Baranyi Béla,gyarmati gyorgy
Gyarmati György,toth eszter
Tóth Eszter,say moricz
Say Móricz,friedrich vilmos
Friedrich Vilmos,barcsa janos
Barcsa János,rez laszlo
Réz László,szedlak matyas
Szedlák Mátyás,asboth lajos
Asbóth Lajos,czirbusz geza
Czirbusz Géza,adam gerzson
Ádám Gerzson,csanyi ferencz
Csányi Ferencz,szlemenics pal
Szlemenics Pál,pierremarie emonet
Pierre-Marie Emonet,gail carriger
Gail Carriger,mark russinovich
Mark Russinovich,gantner adam
Gantner Ádám,michelle zink
Michelle Zink,lilian h agivega
Lilian H. AgiVega,margitay richard
Margitay Richárd,jacek dukaj
Jacek Dukaj,mark nelissen
Mark Nelissen,petho n gabor
Pethő N. Gábor,kinda istvan
Kinda István,ifj bias istvan
ifj. Biás István,lukacsy kristof
Lukácsy Kristóf,lehoczky tivadar
Lehoczky Tivadar,kralik lajos
Králik Lajos,miko pal
Mikó Pál,horvath jeno
Horváth Jenő,gonda bela
Gonda Béla,kovacs lajos
Kovács Lajos,szilagyi ferenc
Szilágyi Ferenc,gyorffy lajos
Győrffy Lajos,beke antal
Beke Antal,karoly janos
Károly János,verancsics antal
Verancsics Antal,beothy leo
Beöthy Leo,sipos s gyula
Sípos (S.) Gyula,zelina gyorgy
Zelina György,l kelemen gabor
L. Kelemen Gábor,p szathmary karoly
P. Szathmáry Károly,georges feydeau
Georges Feydeau,dombrady lorand
Dombrády Lóránd,makk attila
Makk Attila,kozari monika
Kozári Mónika,farkas balint
Farkas Bálint,balassy ferenc
Balássy Ferenc,kleh istvan
Kléh István,komaromi ferencz
Komáromi Ferencz,dr szontagh miklos
Dr. Szontagh Miklós,pinter jeno
Pintér Jenő,csaszar mihaly
Császár Mihály,kele jozsef
Kele József,deutsch antal
Deutsch Antal,agoston peter
Ágoston Péter,bakk endre
Bakk Endre,bartha tamas
Bartha Tamás,boreczky elemer
Boreczky Elemér,balog szidonia
Balog Szidónia,balas margit
Balás Margit,mark stevenson
Mark Stevenson,susie morgenstern
Susie Morgenstern,kovacs zsolt
Kovács Zsolt,raymond smullyan
Raymond Smullyan,debreczeni jozsef
Debreczeni József,kovacs tibor
Kovács Tibor,szentevarga monika
Szente-Varga Mónika,erdos geza
Erdős Géza,lang zsolt
Láng Zsolt,mihaly emoke
Mihály Emőke,georges banu
Georges Banu,semminek latszo
Semminek Látszó,lukats janos
Lukáts János,marion mike menning
"Marion ""Mike"" Menning",tibori szabo zoltan
Tibori Szabó Zoltán,daniel e wray
Daniel E. Wray,miklya luzsanyi monika
Miklya Luzsányi Mónika,andy rathbone
Andy Rathbone,borbely balazs
Borbély Balázs,gyorgyi zoltan
Györgyi Zoltán,bokor miklos
Bokor Miklós,t b marquis
T. B. Marquis,albert caraco
Albert Caraco,vaczko laszlo
Vaczkó László,tim collins
Tim Collins,brandon mull
Brandon Mull,barney stinson
Barney Stinson,james patterson
James Patterson,sarah khan
Sarah Khan,pauler tivadar
Pauler Tivadar,wonaszek a antal
Wonaszek A. Antal,galffy ignac
Gálffy Ignác,ferdinandy geza
Ferdinandy Géza,czeizel gabor
Czeizel Gábor,vagner jozsef
Vagner József,tarnoczy gusztav
Tarnóczy Gusztáv,k nagy sandor
K. Nagy Sándor,horvat sandor
Horvát Sándor,karman jozsef
Kármán József,nagy jozsef
Nagy József,aldasy antal
Áldásy Antal,tasnadi zsuzsanna
Tasnádi Zsuzsanna,kiki hamilton
Kiki Hamilton,ittzes mihaly
Ittzés Mihály,spirit bliss
Spirit Bliss,kuglics gabor
Kuglics Gábor,feld istvan
Feld István,panek odon
Panek Ödön,sebetic raimund
Sebetic Raimund,csehi zoltan
Csehi Zoltán,tari janos
Tari János,ferenczy gabor
Ferenczy Gábor,berend fruzsina
Berend Fruzsina,dr kallay judit
dr. Kállay Judit,petofi sandor
Petőfi Sándor,beothy akos
Beöthy Ákos,jeanyves clement
Jean-Yves Clément,edgar wallace
Edgar Wallace,melczer jakab
Melczer Jakab,varga monika
Varga Monika,vekas janos
Vékás János,tuskes gabor
Tüskés Gábor,claude michelet
Claude Michelet,szilagyi aladar
Szilágyi Aladár,david scott kastan
David Scott Kastan,coert voorhees
Coert Voorhees,boszormenyi gyula
Böszörményi Gyula,guillermo del toro
Guillermo Del Toro,colleen houck
Colleen Houck,szily kalman
Szily Kálmán,namenyi lajos
Naményi Lajos,jaszi viktor
Jászi Viktor,telkes simon
Telkes Simon,szerencs janos
Szerencs János,balogh arthur
Balogh Arthur,kazaly imre
Kazaly Imre,papp szilard
Papp Szilárd,farkas gyula
Farkas Gyula,ablonczy laszlo
Ablonczy László,chilko laszlo
Chilkó László,illessy janos
Illéssy János,hradszky jozsef
Hradszky József,podmaniczky frigyes
Podmaniczky Frigyes,buzas gyorgy miklos
Buzás György Miklós,meszaros sandor
Mészáros Sándor,tamas timea
Tamás Tímea,stephanie perkins
Stephanie Perkins,ritookne szalay agnes
Ritoókné Szalay Ágnes,szasz angela szerk
Szász Angéla (szerk.),martonkoczo ildiko
Márton-Koczó Ildikó,korosenyi andras
Körösényi András,bolemann istvan
Bolemann István,kiraly pal
Király Pál,ifj kubinyi miklos
ifj. Kubinyi Miklós,lazar gyula
Lázár Gyula,roth samu
Roth Samu,visegradi janos
Visegrádi János,vago ferenc
Vágó Ferenc,furedi janos
Füredi János,ivan bojnieia
Ivan Bojnièia,albert zsuzsa
Albert Zsuzsa,dr pauler tivadar
Dr. Pauler Tivadar,acsady ignac
Acsády Ignác,persian kalman
Persián Kálmán,ulrich kortner
Ulrich Körtner,deak dorka
Deák Dorka,maggie stiefvater
Maggie Stiefvater,kisdi barbara
Kisdi Barbara,john boyne
John Boyne,bengt jangfeldt
Bengt Jangfeldt,fellner frigyes
Fellner Frigyes,fiath ferenc
Fiáth Ferenc,torok pal
Török Pál,dr haiczl kalman
Dr. Haiczl Kálmán,zajzoni rab istvan
Zajzoni Rab István,beothy zsigmond
Beöthy Zsigmond,gyorffi endre
Győrffi Endre,toth agnes szerk
Tóth Ágnes (szerk.),gvadanyi jozsef
Gvadányi József,pfeiffer antal
Pfeiffer Antal,chyzer kornel
Chyzer Kornél,czobor bela
Czobor Béla,fulcran gregoire
Fulcran Grégoire,kanyurszky gyorgy
Kanyurszky György,margo tivadar
Margó Tivadar,arthur conan doyle
Arthur Conan Doyle,dmitrij mizgulin
Dmitrij Mizgulin,caius sallustius crispus
Caius Sallustius Crispus,g istvan laszlo
G. István László,mariassy bela
Máriássy Béla,bunyitay vince
Bunyitay Vince,morzsanyi sandor
Morzsányi Sándor,mesko marton
Meskó Márton,pozder karoly
Pozder Károly,gaal jeno
Gaál Jenő,andrassy gyorgy
Andrássy György,berzeviczy albert
Berzeviczy Albert,gelleri mor
Gelléri Mór,velics laszlo
Velics László,matlekovits sandor
Matlekovits Sándor,varady l arpad dr
Várady L. Árpád dr.,paul tough
Paul Tough,timon akos
Timon Ákos,thury etele
Thury Etele,kopp tibor
Kopp Tibor,mihalovics ede
Mihalovics Ede,kemenyfy kalman daniel
Keményfy Kálmán Dániel,kalman dezso
Kálmán Dezső,csaszar elemer
Császár Elemér,kate furnivall
Kate Furnivall,horvath orsolya
Horváth Orsolya,stefano zamagni
Stefano Zamagni,jesus moncada
Jesús Moncada,zeller arpad
Zeller Árpád,dr varga gyula
Dr. Varga Gyula,vajda gyula
Vajda Gyula,torok kalman
Török Kálmán,polya jakab
Pólya Jakab,pap janos
Pap János,vay miklosne
Vay Miklósné,natafalussy kornel
Nátafalussy Kornél,kecskemeti w peter
Kecskeméti W. Péter,csosz imre
Csősz Imre,szombathy ignac
Szombathy Ignác,vass jozsef
Vass József,horvathne simon katalin
Horváthné Simon Katalin,csutimatyas zsofia
Csuti-Mátyás Zsófia,bartfai barnabas
Bártfai Barnabás,shel silverstein
Shel Silverstein,somos zsuzsanna
Somos Zsuzsanna,radvanyi zsuzsa
Radványi Zsuzsa,helene uri
Helene Uri,simon erika
Simon Erika,czegledi andras
Czeglédi András,rob antoun
Rob Antoun,szabo palocz attila
Szabó Palócz Attila,toth gy laszlo
Tóth Gy. László,l r fredericks
L. R. Fredericks,matthias f mangold
Matthias F. Mangold,miko eszter
Mikó Eszter,dr kopa janos
Dr. Kopa János,kairosz kiado
Kairosz Kiadó,vitkolczi ildiko
Vitkolczi Ildikó,kahler frigyes szerk
Kahler Frigyes (szerk.),gal eva
Gál Éva,dian viktoria
Dian Viktória,p torok margit anna szerk
P. Török Margit Anna (szerk.),matolcsy gyorgy szerk
Matolcsy György (szerk.),fabri anna
Fábri Anna,barna t attila
Barna T. Attila,jakabkoves gyoparka
Jakab-Köves Gyopárka,turczi istvan
Turczi István,esterhazy peter
Esterházy Péter,sandor ivan
Sándor Iván,pocs eva
Pócs Éva,fanny joly
Fanny Joly,vanessa walder
Vanessa Walder,alfoldy jeno
Alföldy Jenő,kaiser laszlo
Kaiser László,magyar zoltan
Magyar Zoltán,james smythe
James Smythe,pongracz p maria
Pongrácz P. Mária,tamia sansa
Ta-mia Sansa,fulop g laszlo
Fülöp G. László,josef seifert
Josef Seifert,jeney attila
Jeney Attila,levente tani
Levente Tani,petra nagyovadzerengova
Petra Nagyová-Dzerengová,ignacz karoly
Ignácz Károly,okvath imre szerk
Okváth Imre (szerk.),berkovits gyorgy
Berkovits György,menyhert anna
Menyhért Anna,aknai tamas
Aknai Tamás,monika grul
Monika Grul,jose eduardo degrazia
José Eduardo Degrazia,zetenyi zsolt
Zétényi Zsolt,marko bela
Markó Béla,b r sridhara deva goswami
B. R. Sridhara Deva Goswami,nagy rozsa
Nagy Rózsa,b meszaros katalin
B. Mészáros Katalin,joseph vogl
Joseph Vogl,sobo jeno
Sobó Jenő,racz karoly
Rácz Károly,beksics gusztav
Beksics Gusztáv,hudra janos
Hudra János,milo popovia
Milo Popovia,liszkay jozsef
Liszkay József,pauer imre
Pauer Imre,kohn samuel
Kohn Sámuel,dedek crescens lajos
Dedek Crescens Lajos,angi istvan
Angi István,torok agnes szerk
Török Ágnes (szerk.),bogdan maria szerk
Bogdán Mária (Szerk.),gurka dezso
Gurka Dezső,kenneth oppel
Kenneth Oppel,katona szabo istvan
Katona Szabó István,bruce lawson
Bruce Lawson,dahna knight
Dahna Knight,racz sandor
Rácz Sándor,b lotterfeld
B. Lotterfeld,joo andras
Joó András,fodor geza
Fodor Géza,cora carmack
Cora Carmack,raday mihaly
Ráday Mihály,al gore
Al Gore,varga istvan
Varga István,szabo julianna
Szabó Julianna,marton gyula
Marton Gyula,j r moehringer
J. R. Moehringer,siri kolu
Siri Kolu,kerstin gier
Kerstin Gier,lovranits julia
Lovranits Júlia,erin jade lange
Erin Jade Lange,bugar m istvan
Bugár M. István,pal zoltan
Pál Zoltán,paul b coleman
Paul B. Coleman,toine heijmans
Toine Heijmans,arno geiger
Arno Geiger,diana docha
Diana Docha,muller peter sziami
Müller Péter Sziámi,rakai orsolya
Rákai Orsolya,kandra kabos
Kandra Kabos,mudrony soma
Mudrony Soma,angelisz irini szerk
Angelisz Irini (Szerk.),richard godwin
Richard Godwin,fodor gabor antal
Fodor Gábor Antal,alvin h rosenfeld
