Genre1;Genre1_Std
Stiinte sociale. Politica;stiinte sociale politica
Astronomie, spatiu, timp;astronomie spatiu timp
Istorie economica;istorie economica
Inteligenta emotionala copii;inteligenta emotionala copii
In cautarea fericirii;in cautarea fericirii
Despre creier si gandire;despre creier si gandire
Teorie generala, jurisprudenta;teorie generala jurisprudenta
Invatarea limbilor straine;invatarea limbilor straine
Poezie, teatru, studii literare;poezie teatru studii literare
Lingvistica;lingvistica
Fotografie;fotografie
Medicina complementara;medicina complementara
Pentru copii, adolescenti;pentru copii adolescenti
Drept social;drept social
Drept comercial;drept comercial
Alte reviste;alte reviste
Antreprenoriat;antreprenoriat
Creative writing;creative writing
Cartomantie, alte preziceri;cartomantie alte preziceri
Medicina naturista, ingrijire;medicina naturista ingrijire
Cărți recomandate de Adriana Mitu;carti recomandate de adriana mitu
Gramatica;gramatica
Istorii secrete;istorii secrete
Fictiune erotica;fictiune erotica
Istorie militara, aparare;istorie militara aparare
Familie, sanatate;familie sanatate
Metodologie, testare;metodologie testare
Folk/Country;folkcountry
Legislatia muncii;legislatia muncii
Muzeologie;muzeologie
Teatru;teatru
Criminologie;criminologie
Aspecte generale;aspecte generale
Ghiduri si harti turistice, atlase;ghiduri si harti turistice atlase
Filosofia stiintei;filosofia stiintei
Natura si mediu;natura si mediu
Biologie;biologie
Drept financiar;drept financiar
Alte religii si credinte;alte religii si credinte
Medicina;medicina
Ghiduri si referinte;ghiduri si referinte
Carte straina;carte straina
Navigatie;navigatie
Terapii complementare;terapii complementare
Drept international;drept international
Sport si recreere;sport si recreere
Religie;religie
Neuropsihologie, biopsihologie;neuropsihologie biopsihologie
Obiecte decorative;obiecte decorative
Turism si calatorii;turism si calatorii
Rock;rock
Istoria limbajului;istoria limbajului
Politologie si guvernare;politologie si guvernare
Umor;umor
Dezvoltare personala adolescenti;dezvoltare personala adolescenti
Marketing si comunicare;marketing si comunicare
Comunicare si persuasiune;comunicare si persuasiune
Publicitate si media;publicitate si media
Medicina clinica si interna;medicina clinica si interna
Film, TV, radio;film tv radio
Mediu si ecologie;mediu si ecologie
Psihologia emotiilor;psihologia emotiilor
Clasa a XII-a - Limba si literatura romana;clasa a xiia  limba si literatura romana
Marketing si vanzari;marketing si vanzari
Proprietate intelectuala;proprietate intelectuala
Retele si comunicatii;retele si comunicatii
Folk;folk
Teoria artei;teoria artei
Ocultism si ezoterism;ocultism si ezoterism
Buddhism;buddhism
Ingrijire si asistenta;ingrijire si asistenta
Dreptul familiei;dreptul familiei
;
Romania;romania
Auto, transport, deplasare;auto transport deplasare
Logica;logica
Medicina sportiva;medicina sportiva
Business si economie;business si economie
Clasa a II-a - Limba si literatura romana;clasa a iia  limba si literatura romana
Design interior;design interior
Istoria mentalitatilor;istoria mentalitatilor
Drept constitutional;drept constitutional
Clasa a III-a - Limba si literatura romana;clasa a iiia  limba si literatura romana
Industria comunicarii;industria comunicarii
Tricouri;tricouri
Sugestii pentru combaterea plictiselii;sugestii pentru combaterea plictiselii
Comics;comics
Bibliografie scolara;bibliografie scolara
Romaneasca;romaneasca
Etica si morala;etica si morala
Fenomene paranormale;fenomene paranormale
Doctrine si partide politice;doctrine si partide politice
Studii interdisciplinare;studii interdisciplinare
Hinduism;hinduism
Psihologia criminalistica si legala;psihologia criminalistica si legala
Lingvistica, dictionare;lingvistica dictionare
Stiintele Pamantului;stiintele pamantului
Inteligenta artificiala;inteligenta artificiala
Fizica;fizica
Jocuri de societate;jocuri de societate
